event,node,start,end
form start,,1639382163414,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639382163415,1639382165715
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639382165722,1639382167019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639382167027,1639382168651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639382168659,1639382174781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639382174788,1639382192806
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639382192845,1639382195433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639382195444,1639382231601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639382231611,1639382266296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639382266305,1639382274647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639382274656,1639382279007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639382279014,1639382279966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639382279973,1639382468139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639382468147,1639382474888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639382474896,1639382494765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639382494772,1639382496183
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639382496190,1639382536062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639382536070,1639382556209
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639382556217,1639382621235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639382621243,1639382633164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639382633171,1639382634707
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639382634714,1639382643515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639382643523,1639382645184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639382645191,1639382671228
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639382671246,1639382686972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639382686979,1639382711176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639382711184,1639382717395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639382717403,1639382719263
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639382719270,1639382720998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639382721006,1639382722408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639382722416,1639382729862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639382729870,1639382731730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639382731737,1639382733390
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639382733398,1639382734683
