event,node,start,end
form start,,1638680141936,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638680141938,1638680143020
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638680143030,1638680145356
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638680145366,1638680147125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638680147140,1638680161966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638680161982,1638680165645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638680165727,1638680175064
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638680175093,1638680221055
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638680221067,1638680300218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638680300231,1638680305245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638680305255,1638680324969
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638680324985,1638680325853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638680325865,1638680378010
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638680378022,1638680419673
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638680419685,1638680424654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638680424667,1638680427681
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638680427693,1638680453328
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638680453343,1638680460218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638680460231,1638680461879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638680461892,1638680478754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638680478768,1638680481724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638680481741,1638680508548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638680508562,1638680519626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638680519638,1638680532706
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638680532721,1638680533422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638680533432,1638680534441
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638680534454,1638680547323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638680547338,1638680553770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638680553782,1638680560703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638680560715,1638680566267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638680566281,1638680573318
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638680573332,1638680574968
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638680574982,1638680576964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638680576976,1638680579899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638680579912,1638680586739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638680586753,1638680588599
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638680588612,1638680593696
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638680593706,1638680596292
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638680596303,1638680605927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638680605939,1638680610615
