event,node,start,end
form start,,1638424367045,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638424367046,1638424381541
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638424381576,1638424382900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638424382916,1638424384700
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638424384716,1638424397867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638424397881,1638424401719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638424401754,1638424411697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638424411717,1638424465187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638424465203,1638424466920
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638424466934,1638424470023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638424470036,1638424475340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638424475355,1638424476173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638424476188,1638424528258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638424528273,1638424538993
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638424539007,1638424547045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638424547058,1638424549704
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638424549722,1638424563035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638424563049,1638424583376
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638424583390,1638424585153
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638424585173,1638424597379
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638424597395,1638424599148
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638424599172,1638424612664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638424612678,1638424631180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638424631195,1638424632581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638424632593,1638424634931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638424634945,1638424636507
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638424636520,1638424639591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638424639605,1638424640991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638424641005,1638424643484
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638424643497,1638424644126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638424644139,1638424646618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638424646633,1638424648385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638424648398,1638424650678
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638424650693,1638424652186
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638424652201,1638424654220
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638424654235,1638424668177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638424668191,1638424670612
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638424670633,1638424673288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638424673309,1638424694652
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638424694668,1638424696911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638424696928,1638424710245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638424710261,1638424712262
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638424712280,1638424714254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638424714268,1638424717122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638424717139,1638424728836
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638424728852,1638424731888
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638424731903,1638424733546
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638424733562,1638424735932
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1638424735953,1638424751802
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638424751815,1638424754144
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638424754157,1638424756012
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638424756030,1638424771704
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638424771718,1638424773521
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638424773541,1638424776103
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638424776118,1638424778037
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638424778055,1638424805532
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638424805551,1638424810258
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638424810276,1638424811815
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638424811827,1638424812798
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638424812825,1638424814742
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638424814756,1638424840045
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638424840062,1638424853667
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638424853681,1638424855192
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638424855207,1638424856742
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638424856757,1638424886881
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638424886894,1638424894296
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638424894310,1638424896854
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638424896867,1638424898645
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638424898660,1638424899686
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638424899700,1638424905440
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638424905453,1638424908733
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638424908746,1638424911241
