event,node,start,end
form start,,1638786905133,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638786905134,1638786905813
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638786905821,1638786911886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638786911893,1638786913523
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638786913535,1638786916735
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638786916748,1638786920789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638786920818,1638786924935
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638786924961,1638786939851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638786939865,1638786985510
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638786985523,1638786988682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638786988695,1638786992175
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638786992187,1638786993068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638786993081,1638787018605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638787018616,1638787019297
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638787019307,1638787020565
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638787020578,1638787048304
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638787048316,1638787060108
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638787060122,1638787061410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638787061421,1638787078513
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638787078525,1638787084252
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638787084264,1638787085428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638787085440,1638787095314
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638787095325,1638787097416
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638787097429,1638787101187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638787101199,1638787112291
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638787112304,1638787118783
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638787118794,1638787121543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638787121556,1638787124847
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638787124862,1638787132412
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638787132425,1638787132938
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638787132948,1638787133831
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638787133845,1638787136476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638787136489,1638787137895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638787137907,1638787146145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638787146157,1638787148431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638787148443,1638787151184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638787151196,1638787153195
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638787153208,1638787154529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638787154541,1638787156156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638787156170,1638787157558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638787157571,1638787160285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638787160299,1638787161487
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638787161500,1638787163046
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638787163062,1638787164339
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638787164421,1638787165507
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638787165522,1638787170104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638787170120,1638787174534
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638787174545,1638787177295
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638787177306,1638787180023
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638787180035,1638787181308
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638787181318,1638787181733
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638787181744,1638787183327
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638787183338,1638787184762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638787184774,1638787186956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638787186967,1638787190451
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638787190464,1638787191502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638787191515,1638787192545
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638787192557,1638787192987
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638787193001,1638787193613
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638787193626,1638787194272
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638787194284,1638787195790
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638787195804,1638787198743
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638787198767,1638787209171
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638787209197,1638787213251
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638787213264,1638787216771
