event,node,start,end
form start,,1638951176741,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638951176742,1638951177466
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638951177473,1638951188957
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638951188963,1638951190342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638951190349,1638951194005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638951194014,1638951197670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638951197689,1638951200255
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638951200267,1638951208182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638951208191,1638951229832
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638951229840,1638951232750
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638951232759,1638951240570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638951240581,1638951241719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638951241730,1638951259169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638951259180,1638951267230
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638951267240,1638951341035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638951341043,1638951343808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638951343816,1638951538103
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638951538111,1638951541371
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638951541378,1638951542835
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638951542846,1638951556986
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638951556994,1638951558835
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638951558844,1638951586159
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638951586166,1638951590347
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638951590354,1638951597595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638951597602,1638951599482
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638951599490,1638951600849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638951600856,1638951602265
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638951602272,1638951604408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638951604416,1638951605957
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638951605967,1638951607240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638951607251,1638951608508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638951608518,1638951609717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638951609726,1638951611455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638951611464,1638951619776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638951619785,1638951621340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638951621348,1638951622699
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638951622708,1638951623541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638951623551,1638951624477
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638951624486,1638951625066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638951625098,1638951625703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638951625710,1638951626308
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638951626315,1638951626980
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638951626986,1638951627830
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638951627839,1638951628592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638951628599,1638951629267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638951629275,1638951630219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638951630228,1638951633275
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638951633284,1638951633690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638951633701,1638951634171
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638951634178,1638951634660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638951634667,1638951635158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638951635170,1638951635622
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638951635631,1638951636161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638951636169,1638951636667
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638951636674,1638951637232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638951637239,1638951637898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638951637905,1638951667793
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638951667801,1638951692461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638951692468,1638951694824
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638951694830,1638951696670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638951696679,1638951700305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638951700314,1638951715906
