event,node,start,end
form start,,1639286957881,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639286957882,1639286958331
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639286958339,1639286959438
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639286959446,1639286960713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639286960720,1639286964159
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639286964167,1639286969139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639286969176,1639286971013
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639286971039,1639286980311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639286980323,1639286983168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639286983180,1639286984918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639286984930,1639286995800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639286995812,1639286996773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639286996785,1639287003703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639287003715,1639287009460
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639287009471,1639287016975
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639287016986,1639287020341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639287020356,1639287037853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639287037864,1639287043241
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639287043254,1639287044615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639287044629,1639287056419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639287056431,1639287057865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639287057880,1639287065486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639287065499,1639287097455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639287097467,1639287100731
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639287100744,1639287103612
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639287103625,1639287107700
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639287107710,1639287111764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639287111774,1639287115700
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639287115710,1639287118078
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639287118088,1639287119332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639287119342,1639287122723
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639287122734,1639287123862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639287123873,1639287125010
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639287125021,1639287126192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639287126203,1639287127729
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639287127740,1639287133727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639287133739,1639287135435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639287135447,1639287136633
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639287136646,1639287137804
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639287137817,1639287139132
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639287139144,1639287142676
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639287142688,1639287144716
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639287144728,1639287150735
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639287150754,1639287153725
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639287153747,1639287155385
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639287155397,1639287159129
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639287159141,1639287161384
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639287161396,1639287163605
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639287163618,1639287165790
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639287165803,1639287168664
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639287168677,1639287171441
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639287171454,1639287182686
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639287182698,1639287185198
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639287185210,1639287186883
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639287186896,1639287188508
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639287188520,1639287190148
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639287190161,1639287191162
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639287191174,1639287192860
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639287192872,1639287194098
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639287194110,1639287195330
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639287195342,1639287196512
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639287196525,1639287197943
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639287197955,1639287199016
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639287199028,1639287200105
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639287200119,1639287201145
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639287201158,1639287202192
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639287202204,1639287203322
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639287203335,1639287357837
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639287357847,1639287363313
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639287363323,1639287377510
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639287377521,1639287380272
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639287380284,1639287386473
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639287386484,1639287388704
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639287388715,1639287391674
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639287391687,1639287395770
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639287395782,1639287404764
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639287404774,1639287416769
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639287416779,1639287423824
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639287423834,1639287425710
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639287425722,1639287428083
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639287428093,1639287430562
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639287430572,1639287432561
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639287432572,1639287436073
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639287436085,1639287439194
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639287439205,1639287443200
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639287443212,1639287455446
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639287455456,1639287460967
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639287460980,1639287474157
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639287474170,1639287476572
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639287476583,1639287489528
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639287489540,1639287594356
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639287594368,1639287595713
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639287595725,1639287597427
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639287597439,1639287598964
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639287598977,1639287658172
end screen,,1639287658181,1639287697690
jump,,1639287697691,1639287821344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639287702563,1639287821344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639287821354,1639287823465
jump,,1639287823466,1639287825902
end screen,,1639287825933,1639287889074
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639287889075,1639287890101
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639287890114,1639287891078
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639287891090,1639287891739
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639287891752,1639287892376
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639287892388,1639287893211
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639287893224,1639287895070
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639287895083,1639287896179
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639287896193,1639287896974
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639287896988,1639287911419
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639287911432,1639287912496
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639287912508,1639287913547
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639287913560,1639287914143
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639287914152,1639287915153
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639287915167,1639287915872
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639287915884,1639287916659
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639287916673,1639287917420
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639287917435,1639287918140
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639287918153,1639287919002
