event,node,start,end
form start,,1639381148700,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639381148701,1639381149861
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639381149871,1639381151540
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639381151552,1639381153292
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639381153304,1639381158339
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639381158351,1639381171746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639381171806,1639381175128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639381175170,1639381205922
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639381205932,1639381253592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639381253607,1639381257392
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639381257405,1639381262320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639381262332,1639381263519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639381263533,1639381271930
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639381271941,1639381284255
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639381284267,1639381290817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639381290830,1639381291900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639381291911,1639381312453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639381312465,1639381316849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639381316860,1639381329424
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639381329437,1639381333371
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639381333383,1639381335254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639381335266,1639381349642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639381349653,1639381352092
