event,node,start,end
form start,,1638936847195,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638936847195,1638936848361
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638936848370,1638936850688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638936850696,1638936852156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638936852163,1638936857205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638936857215,1638936875975
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638936876068,1638936882206
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638936882215,1638936896418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638936896426,1638936964844
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638936964854,1638936988616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638936988624,1638937002551
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638937002557,1638937003264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638937003271,1638937120927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638937120940,1638937133736
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638937133741,1638937134270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638937134275,1638937137381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638937137389,1638937152084
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638937152091,1638937154331
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638937154338,1638937169176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638937169185,1638937177311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638937177318,1638937178881
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638937178886,1638937190025
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638937190036,1638937193287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638937193299,1638937197514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638937197519,1638937203036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638937203041,1638937204464
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638937204470,1638937205678
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638937205683,1638937207071
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638937207079,1638937210268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638937210276,1638937213592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638937213601,1638937215719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638937215726,1638937217012
