event,node,start,end
form start,,1638875569408,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638875569410,1638875570149
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638875570163,1638875571854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638875571869,1638875573633
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638875573647,1638875596531
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638875596543,1638875600242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638875600267,1638875602674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638875602704,1638875617320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638875617333,1638875620177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638875620191,1638875622187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638875622202,1638875635212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638875635226,1638875636073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638875636087,1638875642933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638875642944,1638875655018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638875655031,1638875662892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638875662905,1638875665971
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638875665988,1638875711911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638875711925,1638875716334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638875716345,1638875717774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638875717788,1638875733748
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638875733761,1638875739518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638875739533,1638875740320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638875740334,1638875740677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638875740691,1638875741991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638875742005,1638875742380
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638875742397,1638875768817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638875768831,1638875782719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638875782731,1638875784042
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638875784056,1638875800281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638875800296,1638875801745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638875801760,1638875802852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638875802867,1638875803218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638875803235,1638875804292
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638875804306,1638875806089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638875806104,1638875806850
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638875806865,1638875807230
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638875807246,1638875807991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638875808006,1638875808645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638875808662,1638875809265
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638875809282,1638875810034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638875810051,1638875811848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638875811863,1638875816401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638875816412,1638875823256
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638875823270,1638875824778
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638875824792,1638875827041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638875827056,1638875828100
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638875828114,1638875829183
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638875829198,1638875830185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638875830200,1638875831177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638875831192,1638875832261
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638875832276,1638875834434
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638875834452,1638875835773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638875835790,1638875839296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638875839313,1638875840395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638875840411,1638875841479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1638875841495,1638875843575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638875843590,1638875845423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1638875845438,1638875846771
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638875846787,1638875848843
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1638875848859,1638875849968
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638875849983,1638875852646
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638875852661,1638875854361
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638875854377,1638875857124
