event,node,start,end
form start,,1638681617327,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638681617328,1638681618046
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638681618056,1638681620427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638681620439,1638681622065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638681622079,1638681630515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638681630527,1638681633462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638681633491,1638681635728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638681635754,1638681637371
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638681637396,1638681638183
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638681638208,1638681639055
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638681639083,1638681639746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638681639776,1638681648384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638681648397,1638681650100
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638681650113,1638681652199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638681652213,1638681661850
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638681661864,1638681662905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638681662918,1638681669411
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638681669426,1638681679188
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638681679201,1638681689584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638681689598,1638681691602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638681691616,1638681716035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638681716046,1638681719763
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638681719775,1638681724238
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638681724250,1638681737705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638681737717,1638681739832
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638681739846,1638681744386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638681744398,1638681774696
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638681774707,1638681776467
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638681776479,1638681783685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638681783697,1638681794578
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638681794590,1638681795410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638681795422,1638681795921
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638681795936,1638681796515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638681796529,1638681797296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638681797311,1638681798037
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638681798052,1638681799017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638681799031,1638681799727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638681799741,1638681800773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638681800787,1638681804614
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638681804627,1638681808998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638681809012,1638681811433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638681811446,1638681812860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638681812874,1638681814360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638681814373,1638681815812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638681815826,1638681817572
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638681817583,1638681823081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638681823094,1638681840112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638681840126,1638681841329
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638681841342,1638681842566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638681842579,1638681843983
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638681843996,1638681845980
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638681845994,1638681847314
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638681847328,1638681859404
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638681859418,1638681862891
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638681862904,1638681866493
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638681866514,1638681870078
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638681870102,1638681872478
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638681872489,1638681875085
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638681875097,1638681880742
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638681880754,1638681889790
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638681889804,1638681895624
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638681895637,1638681910943
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638681910957,1638681913773
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638681913785,1638681920456
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638681920470,1638681922916
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638681922929,1638681950833
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638681950847,1638681953449
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638681953460,1638681959669
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638681959682,1638681973529
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638681973543,1638681976318
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638681976331,1638681977463
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638681977475,1638681979950
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638681979963,1638681981769
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638681981782,1638681983157
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638681983171,1638681984468
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638681984481,1638681985954
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638681985967,1638681987887
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638681987901,1638681992521
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638681992534,1638681995685
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638681995698,1638681996059
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638681996075,1638681997104
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638681997118,1638681998258
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638681998272,1638682000188
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638682000202,1638682002225
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638682002236,1638682003819
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638682003831,1638682008659
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638682008671,1638682014172
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638682014185,1638682017105
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638682017118,1638682020427
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638682020441,1638682025321
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638682025334,1638682026038
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638682026051,1638682026583
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638682026592,1638682028087
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638682028101,1638682029193
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638682029206,1638682030622
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638682030635,1638682031258
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638682031267,1638682036423
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638682036436,1638682042415
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638682042429,1638682051599
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638682051613,1638682054207
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638682054219,1638682056943
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638682056956,1638682068728
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638682068740,1638682082080
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638682082092,1638682091277
