event,node,start,end
form start,,1638869757312,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638869757313,1638869758202
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638869758211,1638869759508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638869759516,1638869760885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638869760893,1638869765096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638869765104,1638869769634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638869769705,1638869772817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638869772851,1638869797141
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638869797150,1638869900642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638869900650,1638869911396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638869911405,1638869914228
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638869914236,1638869915055
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638869915063,1638869923378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638869923386,1638869961568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638869961576,1638869973617
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638869973625,1638869974695
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638869974703,1638869998125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638869998134,1638869999663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638869999672,1638870005545
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638870005554,1638870006163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638870006171,1638870008979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638870008991,1638870009781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638870009789,1638870080104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638870080114,1638870118015
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638870118023,1638870146534
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638870146542,1638870147353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638870147362,1638870149258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638870149267,1638870181453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638870181461,1638870182589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638870182598,1638870228964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638870228973,1638870230561
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638870230572,1638870233485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638870233492,1638870242752
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638870242760,1638870244515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638870244524,1638870247289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638870247298,1638870249303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638870249311,1638870263743
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638870263751,1638870265522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638870265530,1638870267519
