event,node,start,end
form start,,1638857241282,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638857241283,1638857250758
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638857250770,1638857252233
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638857252246,1638857253614
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638857253626,1638857257276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638857257289,1638857263589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638857263613,1638857268125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638857268149,1638857279462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638857279476,1638857281196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638857281209,1638857283520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638857283533,1638857348730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638857348743,1638857349706
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638857349720,1638857356449
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638857356462,1638857357506
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638857357520,1638857364017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638857364029,1638857375809
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638857375822,1638857385670
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638857385683,1638857387154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638857387170,1638857403332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638857403345,1638857409449
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638857409462,1638857412536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638857412552,1638857422522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638857422536,1638857424246
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638857424263,1638857428256
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638857428270,1638857430069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638857430083,1638857431397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638857431411,1638857432687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638857432702,1638857433869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638857433878,1638857435888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638857435898,1638857437019
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638857437031,1638857438570
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638857438581,1638857440074
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638857440086,1638857441231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638857441243,1638857442389
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638857442401,1638857444101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638857444115,1638857445899
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638857445913,1638857450697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1638857450708,1638857451990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638857452003,1638857454747
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638857454760,1638857456123
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638857456136,1638857461737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638857461751,1638857464957
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638857464970,1638857467674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1638857467687,1638857469092
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638857469105,1638857471074
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638857471087,1638857473925
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638857473937,1638857476710
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638857476737,1638857478723
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638857478749,1638857480961
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638857480974,1638857482603
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638857482616,1638857484619
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638857484632,1638857488461
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638857488474,1638857490304
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638857490316,1638857493969
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638857493983,1638857495900
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638857495914,1638857499976
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638857499990,1638857502399
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638857502413,1638857505451
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638857505464,1638857509029
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638857509042,1638857510910
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638857510925,1638857511965
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638857511979,1638857513577
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638857513590,1638857514807
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638857514820,1638857516054
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638857516068,1638857517294
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638857517305,1638857518494
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638857518505,1638857519626
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638857519637,1638857520709
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638857520722,1638857521899
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638857521912,1638857522972
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638857522985,1638857523955
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638857523967,1638857528011
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638857528023,1638857532016
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638857532028,1638857536061
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638857536073,1638857538244
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638857538256,1638857540801
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638857540813,1638857543695
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638857543708,1638857545843
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638857545856,1638857548646
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638857548659,1638857556138
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638857556152,1638857560454
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638857560467,1638857563480
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638857563494,1638857566581
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638857566595,1638857568356
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638857568370,1638857570330
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638857570343,1638857578779
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638857578793,1638857580762
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638857580776,1638857585763
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638857585777,1638857589976
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638857589989,1638857609953
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638857609963,1638857622517
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638857622529,1638857630304
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638857630316,1638857652731
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638857652742,1638857654621
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638857654634,1638857659020
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638857659032,1638857660762
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638857660775,1638857698563
end screen,,1638857698573,1638857751531
jump,,1638857751531,1638857848781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638857758205,1638857848781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638857848791,1638857849707
jump,,1638857849708,1638857851562
end screen,,1638857851597,1638858432238
form save,,1638858432727,
form exit,,1638858432727,
form finalize,,1638858432728,

