event,node,start,end
form start,,1639463810431,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639463810432,1639463811418
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639463811426,1639463813583
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639463813590,1639463815341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639463815348,1639463822933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639463822942,1639463825787
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639463825834,1639463836284
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639463836301,1639463841341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639463841349,1639463974036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639463974044,1639463979494
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639463979502,1639463980611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639463980619,1639463983233
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639463983241,1639463987020
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639463987028,1639463987988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639463987996,1639464003307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639464003315,1639464010716
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639464010723,1639464017309
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639464017316,1639464019212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639464019221,1639464035065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639464035073,1639464040940
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639464040948,1639464042825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639464042833,1639464070862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639464070869,1639464072431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639464072439,1639464074934
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639464074941,1639464081826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639464081834,1639464083445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639464083453,1639464092608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639464092619,1639464098315
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639464098322,1639464105674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639464105682,1639464110646
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639464110654,1639464112266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639464112273,1639464113767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639464113775,1639464115686
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639464115694,1639464117522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639464117529,1639464119057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639464119065,1639464120693
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639464120701,1639464122828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639464122836,1639464123963
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639464123971,1639464125048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639464125057,1639464126200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639464126211,1639464127970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639464127977,1639464129871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639464129878,1639464131407
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639464131414,1639464134327
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639464134335,1639464135128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639464135136,1639464135929
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639464135938,1639464136597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639464136605,1639464137234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639464137241,1639464137849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639464137858,1639464138866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639464138874,1639464140501
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639464140510,1639464141737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639464141747,1639464143022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639464143030,1639464144224
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639464144232,1639464145408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639464145417,1639464156806
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639464156814,1639464159627
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639464159634,1639464162930
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639464162937,1639464164550
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639464164558,1639464167637
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639464167644,1639464171775
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639464171782,1639464179618
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639464179626,1639464183442
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639464183449,1639464201234
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639464201242,1639464215434
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639464215442,1639464230820
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639464230828,1639464233375
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639464233382,1639464235127
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639464235135,1639464236996
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639464237004,1639464238913
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639464238921,1639464239845
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639464239854,1639464242092
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639464242108,1639464244822
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639464244831,1639464246541
