event,node,start,end
form start,,1638787922511,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638787922513,1638787927415
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638787927423,1638787928647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638787928657,1638787932386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638787932395,1638787937918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638787937927,1638787941595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638787941634,1638787943801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638787943813,1638787950118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638787950126,1638788124578
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638788124586,1638788126567
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638788126576,1638788129600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638788129608,1638788130502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638788130510,1638788135758
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638788135766,1638788140688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638788140696,1638788146478
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638788146487,1638788147815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638788147825,1638788158060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638788158069,1638788166600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638788166609,1638788169743
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638788169751,1638788179727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638788179735,1638788181440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638788181448,1638788183638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638788183647,1638788213302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638788213311,1638788214580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638788214589,1638788216226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638788216234,1638788222493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638788222499,1638788224364
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638788224371,1638788226278
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638788226285,1638788228192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638788228199,1638788228977
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638788228984,1638788230272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638788230279,1638788231183
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638788231190,1638788231718
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638788231725,1638788232728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638788232736,1638788234751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638788234758,1638788241853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638788241861,1638788242890
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638788242898,1638788243817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638788243825,1638788245446
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638788245454,1638788262408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638788262421,1638788263360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638788263369,1638788269402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1638788269411,1638788270363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638788270373,1638788276663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638788276675,1638788278894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638788278903,1638788300227
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638788300235,1638788300937
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638788300945,1638788301489
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638788301497,1638788303528
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638788303536,1638788311700
