event,node,start,end
form start,,1639459349756,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639459349757,1639459351158
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639459351168,1639459385496
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639459385504,1639459396196
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639459396204,1639459451871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639459451878,1639459476095
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639459476152,1639459479513
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639459479523,1639459507471
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639459507479,1639459596144
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639459596152,1639459612405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639459612413,1639459619056
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639459619063,1639459623192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639459623199,1639459649379
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639459649387,1639459694843
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639459694852,1639459743174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639459743182,1639459746157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639459746164,1639459763346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639459763353,1639459786800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639459786809,1639459789032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639459789039,1639459799325
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639459799333,1639459805392
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639459805400,1639459812537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639459812544,1639459822422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639459822430,1639459825330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459825337,1639459832917
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459832925,1639459843579
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639459843587,1639459846963
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639459846972,1639459850289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639459850297,1639459855946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639459855953,1639459867636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639459867643,1639459877353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639459877361,1639459891726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639459891733,1639459911863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639459911871,1639459918397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639459918404,1639459929945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639459929952,1639459954477
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639459954485,1639459956692
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639459956699,1639459968875
