event,node,start,end
form start,,1639032480857,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639032480858,1639032547427
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639032547435,1639032549195
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639032549204,1639032550858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639032550868,1639032558736
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639032558746,1639032562753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639032562779,1639032566111
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639032566126,1639032612751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639032612761,1639032625720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639032625729,1639032629135
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639032629144,1639032632935
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639032632945,1639032633956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639032633966,1639032655599
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639032655610,1639032670120
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639032670131,1639032691051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639032691060,1639032692923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639032692947,1639032709663
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639032709674,1639032718443
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639032718455,1639032720675
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639032720688,1639032755470
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639032755481,1639032760422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639032760430,1639032772451
