event,node,start,end
form start,,1639456254541,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639456254543,1639456255378
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639456255398,1639456256581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639456256592,1639456258089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639456258099,1639456272229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639456272238,1639456275860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639456275894,1639456278341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639456278376,1639456283154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639456283165,1639456332621
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639456332632,1639456335956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639456335967,1639456339317
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639456339328,1639456340533
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639456340544,1639456349760
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639456349770,1639456361069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639456361080,1639456391413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639456391424,1639456393879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639456393900,1639456404805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639456404815,1639456408469
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639456408479,1639456410666
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639456410677,1639456429186
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639456429198,1639456431702
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639456431714,1639456441828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639456441839,1639456470343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639456470353,1639456471825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639456471835,1639456481967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639456481979,1639456538574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639456538583,1639456542105
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639456542115,1639456543654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639456543664,1639456546086
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639456546096,1639456554762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639456554772,1639456556045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639456556056,1639456560359
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639456560370,1639456562640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639456562651,1639456563158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639456563168,1639456563624
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639456563635,1639456581677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639456581687,1639456583858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639456583869,1639456585774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639456585784,1639456587705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639456587717,1639456603394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639456603405,1639456604510
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639456604521,1639456606958
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639456606971,1639456609640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639456609650,1639456611072
