event,node,start,end
form start,,1638779537702,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638779537703,1638779572677
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638779572686,1638779574178
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638779574185,1638779575454
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638779575462,1638779581669
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638779581675,1638779586485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638779586545,1638779607520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638779607530,1638779618462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638779618467,1638779641538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638779641545,1638779644791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638779644797,1638779655350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638779655357,1638779657558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638779657565,1638779674805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638779674812,1638779718016
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638779718023,1638779726574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638779726580,1638779729508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638779729520,1638779753881
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638779753888,1638779759541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638779759548,1638779763238
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638779763245,1638779773791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638779773798,1638779775167
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638779775174,1638779803244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638779803250,1638779808367
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638779808373,1638779833767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638779833774,1638779845460
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638779845467,1638779853513
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638779853520,1638779855480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638779855487,1638779858495
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638779858501,1638779877805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638779877812,1638779892311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638779892317,1638779896699
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638779896711,1638779899905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638779899912,1638779900967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638779900973,1638779911447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638779911453,1638779913754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638779913760,1638779915351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638779915358,1638779921502
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638779921509,1638779924255
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638779924261,1638779925730
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638779925737,1638779926640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638779926647,1638779927469
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638779927477,1638779928429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638779928435,1638779929291
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638779929298,1638779930282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638779930289,1638779930995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638779931001,1638779931514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638779931520,1638779932397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638779932409,1638779933191
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638779933197,1638779934133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638779934140,1638779934889
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638779934896,1638779935799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638779935805,1638779936623
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638779936630,1638779939599
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638779939606,1638779942282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638779942289,1638779945835
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638779945841,1638779946998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638779947005,1638779953011
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638779953017,1638779968649
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638779968656,1638779972130
