event,node,start,end
form start,,1638771367364,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638771367366,1638771368353
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638771368360,1638771370035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638771370042,1638771392608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638771392616,1638771399713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638771399720,1638771406028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638771406111,1638771408638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638771408651,1638771419247
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638771419255,1638771426511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638771426519,1638771468527
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638771468535,1638771475307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638771475315,1638771476666
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638771476674,1638771484642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638771484651,1638771493676
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638771493684,1638771504538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638771504547,1638771506289
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638771506299,1638771524360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638771524369,1638771536239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638771536247,1638771538235
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638771538244,1638771557871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638771557879,1638771564847
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638771564855,1638771570003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638771570011,1638771609647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638771609656,1638771611974
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638771611983,1638771617000
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638771617008,1638771621057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638771621064,1638771667705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638771667714,1638771670840
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638771670849,1638771686946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638771686962,1638771694470
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638771694478,1638771699995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638771700004,1638771706556
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638771706565,1638771707431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638771707438,1638771708549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638771708557,1638771720958
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638771720966,1638771723308
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638771723316,1638771731983
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638771731991,1638771733345
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638771733353,1638771734909
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638771734916,1638771751533
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638771751541,1638771751917
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638771751924,1638771752516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638771752524,1638771753062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638771753069,1638771753581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638771753588,1638771754493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638771754501,1638771754985
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638771755001,1638771755459
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638771755471,1638771755969
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638771755989,1638771756613
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638771756622,1638771757070
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638771757085,1638771757883
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638771757891,1638771778053
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638771778060,1638771778582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638771778595,1638771778959
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638771778967,1638771779592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638771779599,1638771780218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638771780224,1638771780782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638771780789,1638771781354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638771781361,1638771781954
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638771781961,1638771782964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638771782972,1638771784812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638771784820,1638771786750
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638771786758,1638771788180
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638771788188,1638771789317
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638771789325,1638771796935
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638771796944,1638771811857
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638771811863,1638771815199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638771815206,1638771819932
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638771819943,1638771823543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638771823552,1638771827409
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638771827418,1638771850544
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638771850553,1638771864314
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638771864320,1638771866146
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638771866153,1638771870929
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638771870938,1638771881168
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638771881176,1638771898996
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638771899004,1638771919036
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638771919045,1638771937960
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638771937970,1638771941786
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638771941794,1638771945176
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638771945185,1638771961285
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638771961293,1638771968567
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638771968576,1638771970840
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638771970848,1638771973075
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638771973083,1638772002017
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638772002025,1638772009268
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638772009276,1638772024293
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638772024301,1638772036580
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638772036588,1638772042219
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638772042227,1638772046705
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638772046713,1638772049538
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638772049547,1638772059204
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638772059212,1638772064721
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638772064728,1638772065714
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638772065724,1638772068316
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638772068323,1638772070035
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638772070042,1638772073282
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638772073288,1638772075741
