event,node,start,end
form start,,1639371362440,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639371362442,1639371364755
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639371364777,1639371368203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639371368216,1639371376842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639371376855,1639371384585
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639371384602,1639371409534
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639371409565,1639371416170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639371416187,1639371446786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639371446797,1639371480271
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639371480285,1639371483972
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639371483986,1639371490723
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639371490733,1639371492123
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639371492134,1639371506818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639371506831,1639371514953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639371514964,1639371524734
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639371524751,1639371527285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639371527304,1639371559851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639371559864,1639371563685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639371563700,1639371565669
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639371565682,1639371577399
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639371577412,1639371581816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639371581828,1639371591185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639371591197,1639371611075
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639371611091,1639371611933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639371611949,1639371616110
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639371616123,1639371617927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639371617938,1639371630068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639371630082,1639371632831
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639371632842,1639371644668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639371644681,1639371646426
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639371646439,1639371648293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639371648304,1639371649920
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639371649934,1639371651762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639371651778,1639371653487
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639371653501,1639371659022
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639371659035,1639371662781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639371662798,1639371673543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639371673555,1639371688381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639371688390,1639371692240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639371692250,1639371695016
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639371695026,1639371744911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639371744925,1639371748428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639371748439,1639371761665
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639371761683,1639371765791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639371765804,1639371768132
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639371768146,1639371772942
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639371772960,1639371773793
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639371773806,1639371777527
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_communicating,1639371777542,1639371781011
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639371781027,1639371783738
