event,node,start,end
form start,,1639282924588,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639282924590,1639282931704
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639282931725,1639282933981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639282933993,1639282935647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639282935661,1639282938933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639282938944,1639282945075
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639282945142,1639282947684
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639282947716,1639282950101
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639282950114,1639282951368
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639282951384,1639282954472
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639282954488,1639282958704
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639282958720,1639282959629
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639282959647,1639282963873
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639282963889,1639282966865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639282966879,1639282969840
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639282969855,1639282971900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639282971914,1639282977494
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639282977509,1639282981645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639282981660,1639282983253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639282983267,1639282985637
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639282985656,1639282987179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639282987195,1639282989887
