event,node,start,end
form start,,1639378044153,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639378044154,1639378044904
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639378044917,1639378046109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639378046118,1639378047771
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639378047779,1639378076579
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639378076591,1639378080029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639378080062,1639378083405
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639378083432,1639378098021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639378098033,1639378099930
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639378099942,1639378101925
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639378101935,1639378107391
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639378107402,1639378108015
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639378108027,1639378146927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639378146940,1639378154979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639378154991,1639378172257
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639378172269,1639378173848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639378173863,1639378219445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639378219458,1639378222967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639378222979,1639378224467
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639378224480,1639378235936
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639378235950,1639378237562
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639378237576,1639378256124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639378256134,1639378274061
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639378274072,1639378275704
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639378275715,1639378277671
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639378277682,1639378279105
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639378279118,1639378280775
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639378280787,1639378282647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639378282662,1639378294213
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639378294225,1639378295480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639378295491,1639378296797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639378296810,1639378298131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639378298143,1639378303448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639378303464,1639378305249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639378305262,1639378308100
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639378308113,1639378315668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639378315683,1639378317194
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639378317208,1639378319836
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639378319850,1639378321346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639378321359,1639378325189
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639378325202,1639378327697
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639378327710,1639378328956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639378328970,1639378332107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639378332121,1639378355021
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639378355034,1639378356931
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639378356944,1639378364116
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639378364150,1639378367367
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639378367400,1639378370460
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639378370473,1639378382215
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639378382227,1639378392055
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639378392069,1639378395472
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639378395485,1639378397040
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639378397053,1639378400443
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639378400456,1639378402868
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639378402882,1639378405685
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639378405699,1639378408661
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639378408675,1639378410602
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639378410616,1639378415437
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639378415451,1639378417329
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639378417342,1639378418295
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639378418308,1639378421115
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639378421128,1639378431288
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639378431301,1639378439557
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639378439569,1639378441082
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639378441093,1639378442391
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639378442406,1639378443941
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639378443953,1639378449804
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639378449817,1639378455114
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639378455127,1639378456939
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639378456954,1639378457663
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639378457675,1639378460158
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639378460172,1639378464017
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639378464030,1639378466860
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639378466873,1639378468635
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639378468647,1639378471694
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639378471706,1639378485911
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639378485923,1639378488344
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639378488358,1639378490954
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639378490966,1639378495004
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639378495018,1639378500882
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639378500895,1639378506375
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639378506388,1639378509376
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639378509388,1639378516203
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639378516218,1639378517711
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639378517725,1639378527961
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_type_o,1639378527975,1639378532029
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639378532040,1639378534146
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_type_o,1639378534159,1639378561797
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639378561814,1639378565982
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639378565994,1639378567574
