event,node,start,end
form start,,1638790141611,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638790141612,1638790143058
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638790143065,1638790144321
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638790144333,1638790145907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638790145915,1638790150094
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638790150100,1638790154581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638790154625,1638790156887
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638790156920,1638790175203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638790175211,1638790200162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638790200169,1638790203305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638790203313,1638790207908
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638790207917,1638790208928
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638790208936,1638790213273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638790213281,1638790224219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638790224228,1638790236602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638790236612,1638790238215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638790238232,1638790264394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638790264401,1638790332897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638790332906,1638790334392
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638790334402,1638790351254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638790351263,1638790352717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638790352726,1638790357581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638790357589,1638790362753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638790362761,1638790364566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638790364575,1638790366221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638790366229,1638790370699
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638790370708,1638790373657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638790373666,1638790375964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638790375972,1638790377334
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638790377343,1638790378595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638790378601,1638790379740
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638790379748,1638790380877
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638790380884,1638790382948
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638790382955,1638790384511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638790384518,1638790387352
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638790387361,1638790388588
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638790388598,1638790389692
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638790389700,1638790390745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638790390757,1638790391923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638790391932,1638790393126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638790393136,1638790398356
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638790398364,1638790400520
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638790400530,1638790404548
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638790404578,1638790406545
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638790406575,1638790408100
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638790408108,1638790409737
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638790409746,1638790411918
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638790411927,1638790413606
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638790413615,1638790415286
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638790415296,1638790416296
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638790416304,1638790417299
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638790417307,1638790418657
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638790418667,1638790423945
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638790423953,1638790426268
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638790426275,1638790427780
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638790427791,1638790429367
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638790429377,1638790431356
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638790431370,1638790432758
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638790432767,1638790433677
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638790433685,1638790435819
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638790435828,1638790450325
