event,node,start,end
form start,,1639461284786,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639461284787,1639461286138
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639461286150,1639461287451
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639461287460,1639461289041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639461289052,1639461298553
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639461298562,1639461300990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639461301032,1639461305612
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639461305623,1639461311135
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639461311143,1639461398758
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639461398766,1639461400812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639461400820,1639461404666
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639461404674,1639461405500
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639461405508,1639461416231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639461416239,1639461426828
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639461426836,1639461473655
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639461473663,1639461474990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639461474998,1639461503461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639461503470,1639461507767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639461507776,1639461509218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639461509227,1639461536786
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639461536795,1639461539258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639461539266,1639461542394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639461542402,1639461547401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639461547409,1639461549054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639461549064,1639461561336
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639461561343,1639461567559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639461567567,1639461568580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639461568587,1639461570097
