event,node,start,end
form start,,1639393606139,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639393606140,1639393606724
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639393606742,1639393607889
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639393607905,1639393609267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639393609285,1639393622805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639393622817,1639393625964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639393625996,1639393628097
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639393628131,1639393638518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639393638530,1639393756958
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639393756974,1639393758967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639393758982,1639393763857
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639393763870,1639393764708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639393764721,1639393768769
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639393768784,1639393769168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639393769179,1639393769618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639393769630,1639393770077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639393770090,1639393771260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639393771272,1639393772177
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639393772190,1639393772827
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639393772838,1639393773161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639393773175,1639393774169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639393774183,1639393774894
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639393774907,1639393783613
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639393783628,1639393789164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639393789177,1639393794416
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639393794428,1639393795933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639393795946,1639393805729
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639393805742,1639393810147
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639393810160,1639393811639
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639393811653,1639393821907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639393821920,1639393823258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639393823270,1639393827526
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639393827539,1639393847671
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639393847683,1639393849046
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639393849059,1639393852481
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639393852491,1639393854248
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639393854263,1639393855682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639393855694,1639393857240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639393857255,1639393858724
