event,node,start,end
form start,,1639476314591,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639476314592,1639476315618
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639476315632,1639476317073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639476317081,1639476318385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639476318393,1639476322122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639476322129,1639476326423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639476326482,1639476330538
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639476330549,1639476341111
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639476341119,1639476341956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639476341964,1639476345114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639476345121,1639476374450
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639476374457,1639476384081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639476384088,1639476399955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639476399963,1639476400950
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639476400957,1639476412636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639476412643,1639476424589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639476424595,1639476429363
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639476429370,1639476430676
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639476430682,1639476443738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639476443749,1639476451034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639476451040,1639476453164
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639476453173,1639476465642
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639476465648,1639476468036
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639476468043,1639476472597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639476472605,1639476485451
