event,node,start,end
form start,,1639380267532,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639380267532,1639380276144
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639380276151,1639380277601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639380277614,1639380279083
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639380279092,1639380290618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639380290625,1639380295123
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639380295184,1639380297340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639380297351,1639380314804
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639380314811,1639380431166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639380431173,1639380438499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639380438506,1639380450277
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639380450284,1639380451313
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639380451320,1639380464575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639380464581,1639380476480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639380476487,1639380494136
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639380494143,1639380495713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639380495722,1639380513041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639380513048,1639380516589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639380516596,1639380518066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639380518073,1639380529990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639380529997,1639380532968
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639380532974,1639380536848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639380536855,1639380553024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639380553031,1639380579625
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639380579632,1639380585945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639380585952,1639380593644
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639380593651,1639380600333
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639380600343,1639380613001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639380613010,1639380615156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639380615162,1639380616212
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639380616218,1639380617179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639380617186,1639380619154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639380619161,1639380620114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639380620121,1639380621003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639380621009,1639380622893
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639380622899,1639380624139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639380624147,1639380628008
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639380628015,1639380631253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639380631260,1639380631975
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639380631982,1639380632989
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639380632995,1639380633951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639380633957,1639380635126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639380635133,1639380635892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639380635899,1639380636876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639380636883,1639380638266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639380638273,1639380641192
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639380641198,1639380643222
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639380643229,1639380644625
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639380644632,1639380646440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639380646447,1639380647710
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639380647717,1639380650832
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639380650838,1639380652255
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639380652263,1639380655721
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639380655727,1639380659830
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639380659836,1639380660884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639380660891,1639380661867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639380661873,1639380662802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639380662808,1639380663744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639380663751,1639380664604
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639380664610,1639380668829
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639380668836,1639380669595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639380669602,1639380669991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639380670007,1639380671156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639380671163,1639380671975
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639380671982,1639380672447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639380672452,1639380673283
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639380673289,1639380680033
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639380680042,1639380685199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639380685206,1639380700597
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639380700609,1639380703852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639380703858,1639380704392
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639380704400,1639380704816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639380704824,1639380708140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639380708147,1639380709344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639380709350,1639380710355
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639380710362,1639380711807
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639380711814,1639380715273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639380715280,1639380717835
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639380717842,1639380723285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639380723292,1639380735250
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639380735257,1639380736862
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639380736868,1639380738523
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639380738530,1639380742967
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639380742974,1639380747194
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639380747238,1639380750236
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639380750246,1639380752420
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639380752427,1639380761077
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639380761084,1639380763034
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639380763041,1639380766075
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639380766083,1639380767631
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639380767639,1639380769816
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639380769825,1639380777529
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639380777536,1639380781083
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639380781090,1639380783115
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639380783123,1639380785439
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639380785448,1639380791510
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639380791517,1639380792887
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639380792894,1639380794719
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639380794726,1639380796463
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639380796475,1639380797868
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639380797875,1639380800491
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639380800498,1639380804195
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639380804202,1639380813058
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639380813065,1639380815585
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639380815592,1639380817423
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639380817431,1639380819836
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639380819843,1639380821929
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639380821936,1639380824302
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639380824308,1639380825916
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639380825923,1639380827944
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639380827950,1639380830138
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639380830144,1639380837093
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639380837100,1639380839208
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639380839214,1639380840723
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639380840730,1639380842954
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639380842960,1639380846944
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639380846950,1639380848822
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639380848828,1639380850070
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639380850076,1639380851447
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639380851454,1639380853075
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639380853082,1639380855097
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639380855110,1639380858078
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639380858084,1639380860345
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639380860351,1639380862853
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639380862862,1639380868536
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639380868543,1639380870488
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639380870495,1639380873575
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639380873583,1639380875268
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639380875276,1639380879345
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639380879352,1639380880842
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639380880849,1639380884691
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639380884699,1639380886058
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639380886066,1639380889730
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639380889737,1639380906601
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639380906609,1639380915683
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639380915691,1639380918379
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639380918388,1639380919941
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639380919949,1639380922208
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639380922216,1639380926493
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639380926500,1639380928400
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639380928408,1639380930457
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639380930465,1639380932369
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639380932377,1639381725193
end screen,,1639381725200,1639381726687
form save,,1639381726950,
form exit,,1639381726950,
form finalize,,1639381726951,

