event,node,start,end
form start,,1639467894086,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639467894086,1639467895113
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639467895121,1639467896655
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639467896666,1639467898378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639467898392,1639467905202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639467905212,1639467909661
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639467909690,1639467912717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639467912732,1639467932773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639467932781,1639468016079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639468016089,1639468039657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639468039665,1639468045994
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639468046005,1639468046976
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639468046987,1639468072547
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639468072557,1639468087864
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639468087875,1639468113389
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639468113401,1639468115152
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639468115164,1639468125644
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639468125655,1639468129788
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639468129799,1639468131927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639468131939,1639468146243
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639468146254,1639468148048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639468148060,1639468153078
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639468153088,1639468165915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639468165928,1639468167432
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639468167445,1639468172709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639468172720,1639468173749
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639468173758,1639468179558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639468179569,1639468180976
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639468180987,1639468182427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639468182440,1639468183521
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639468183529,1639468184630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639468184642,1639468186069
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639468186078,1639468193689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639468193700,1639468199951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639468199963,1639468211557
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639468211568,1639468217202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639468217215,1639468220476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639468220487,1639468229038
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639468229049,1639468230808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639468230824,1639468235395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639468235405,1639468241023
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639468241030,1639468244987
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639468244997,1639468250375
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639468250385,1639468254816
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639468254826,1639468258329
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639468258340,1639468269949
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639468269959,1639468273667
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639468273677,1639468277547
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639468277557,1639468282516
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639468282526,1639468284517
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639468284530,1639468287511
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639468287523,1639468288732
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639468288745,1639468294471
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639468294481,1639468297443
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639468297456,1639468299799
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639468299812,1639468301832
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639468301844,1639468311040
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639468311053,1639468328998
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639468329008,1639468334435
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639468334446,1639468335961
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639468335973,1639468352006
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639468352015,1639468362582
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639468362593,1639468367809
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639468367820,1639468371322
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639468371332,1639468373499
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639468373513,1639468374817
