event,node,start,end
form start,,1639473668966,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639473668968,1639473670391
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639473670406,1639473671600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639473671607,1639473674958
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639473674964,1639473679892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639473679901,1639473683753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639473683850,1639473686045
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639473686110,1639473691747
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639473691752,1639473751344
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639473751350,1639473754476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639473754484,1639473758182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639473758188,1639473758982
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639473758988,1639473806535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639473806541,1639473818229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639473818235,1639473820866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639473820872,1639473821875
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639473821882,1639473827744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639473827752,1639473829653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639473829660,1639473866765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639473866770,1639473871176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639473871181,1639473872713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639473872719,1639473886729
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639473886736,1639473889376
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639473889380,1639473901492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639473901497,1639473904800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639473904807,1639473908559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639473908568,1639473910469
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639473910474,1639473912277
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639473912283,1639473915817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639473915821,1639473917242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639473917247,1639473918801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639473918806,1639473921314
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639473921323,1639473925931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639473925937,1639473927884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639473927890,1639473930786
