event,node,start,end
form start,,1639374536658,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639374536660,1639374537413
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639374537422,1639374539133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639374539141,1639374540710
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639374540722,1639374544931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639374544944,1639374547592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639374547647,1639374550228
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639374550257,1639374592775
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639374592786,1639374639677
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639374639688,1639374641609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639374641618,1639374645279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639374645292,1639374647573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639374647585,1639374675779
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639374675791,1639374715706
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639374715718,1639374726876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639374726889,1639374728511
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639374728525,1639374738882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639374738894,1639374742319
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639374742330,1639374743353
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639374743365,1639374747090
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639374747103,1639374748284
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639374748296,1639374756308
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639374756322,1639374757619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639374757631,1639374763316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639374763329,1639374774003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639374774012,1639374775606
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639374775618,1639374777249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639374777261,1639374778968
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639374778979,1639374780962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639374780974,1639374782447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639374782459,1639374783890
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639374783902,1639374786034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639374786046,1639374789337
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639374789350,1639374791197
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639374791211,1639374795543
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639374795556,1639374796911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639374796926,1639374800282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639374800294,1639374802292
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639374802305,1639374803443
