event,node,start,end
form start,,1639381157414,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639381157415,1639381158059
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639381158066,1639381159265
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639381159273,1639381160666
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639381160674,1639381165254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639381165262,1639381169265
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639381169304,1639381171914
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639381171945,1639381184055
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639381184064,1639381259341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639381259350,1639381262284
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639381262292,1639381265859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639381265866,1639381266753
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639381266760,1639381283799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639381283806,1639381292029
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639381292037,1639381299316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639381299324,1639381300895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639381300905,1639381316287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639381316294,1639381317381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639381317389,1639381483167
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639381483175,1639381501717
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639381501724,1639381503112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639381503120,1639381515203
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639381515210,1639381516582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639381516590,1639381520650
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639381520658,1639381574918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639381574927,1639381579288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639381579297,1639381582580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639381582588,1639381584276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639381584285,1639381586315
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639381586328,1639381587668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639381587675,1639381589373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639381589381,1639381590669
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639381590675,1639381592306
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639381592314,1639381594153
