event,node,start,end
form start,,1638943153903,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638943153904,1638943155286
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638943155294,1638943157047
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638943157055,1638943158581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638943158590,1638943163955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638943163968,1638943166908
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638943166957,1638943170062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638943170091,1638943194279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638943194291,1638943225998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638943226009,1638943229161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638943229173,1638943238220
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638943238235,1638943239187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638943239203,1638943280148
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638943280160,1638943341650
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638943341663,1638943347789
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638943347802,1638943349499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638943349513,1638943364475
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638943364487,1638943370715
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638943370728,1638943372051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638943372064,1638943399863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638943399878,1638943401690
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638943401703,1638943405770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638943405783,1638943422063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638943422076,1638943424107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638943424123,1638943426260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638943426273,1638943428387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638943428399,1638943430155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638943430169,1638943431490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638943431503,1638943434319
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638943434332,1638943435853
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638943435866,1638943437138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638943437153,1638943438423
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638943438437,1638943443995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638943444008,1638943445279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638943445290,1638943446656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638943446668,1638943447733
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638943447746,1638943448707
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638943448718,1638943449751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638943449768,1638943451787
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638943451799,1638943458169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638943458180,1638943460880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638943460891,1638943463249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638943463262,1638943465293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638943465306,1638943465669
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638943465682,1638943466044
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638943466056,1638943466637
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638943466649,1638943468479
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638943468491,1638943469239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638943469251,1638943472843
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638943472856,1638943474253
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638943474267,1638943477456
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638943477485,1638943480151
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638943480179,1638943481144
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638943481156,1638943482228
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638943482241,1638943482712
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638943482738,1638943486525
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638943486553,1638943491254
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638943491268,1638943492614
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638943492628,1638943494867
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638943494880,1638943496260
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638943496272,1638943496719
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638943496731,1638943499372
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638943499384,1638943500898
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638943500912,1638943502331
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638943502343,1638943506775
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638943506788,1638943509303
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638943509316,1638943511673
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638943511686,1638943513549
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638943513561,1638943515569
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638943515583,1638943522265
