event,node,start,end
form start,,1638959408983,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638959408984,1638959409989
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638959409997,1638959413028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638959413033,1638959415012
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638959415022,1638959421156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638959421162,1638959425569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638959425656,1638959429001
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638959429011,1638959439685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638959439696,1638959441015
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638959441021,1638959443827
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638959443832,1638959447825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638959447831,1638959449057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638959449066,1638959459310
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638959459315,1638959466895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638959466902,1638959470882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638959470888,1638959473490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638959473496,1638959486964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638959486970,1638959495095
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638959495101,1638959497290
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638959497297,1638959505898
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638959505906,1638959508514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638959508521,1638959514945
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638959514952,1638959543640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638959543647,1638959546566
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638959546572,1638959558595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638959558602,1638959560522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638959560527,1638959565229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638959565237,1638959566997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638959567006,1638959569831
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638959569837,1638959571587
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638959571595,1638959573480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638959573487,1638959575278
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638959575284,1638959578340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638959578347,1638959580483
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638959580492,1638959582842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638959582850,1638959584607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638959584612,1638959587025
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638959587032,1638959589300
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638959589306,1638959591163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638959591170,1638959595519
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638959595526,1638959598721
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638959598729,1638959602084
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638959602091,1638959607898
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638959607966,1638959611877
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638959611888,1638959615066
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638959615074,1638959617135
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638959617140,1638959619805
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638959619810,1638959622714
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638959622719,1638959629942
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_when,1638959629949,1638959635166
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_type,1638959635173,1638959639141
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638959639150,1638959642475
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638959642483,1638959646272
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638959646286,1638959660709
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638959660715,1638959665366
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638959665373,1638959677987
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638959677993,1638959683701
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638959683708,1638959688021
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638959688027,1638959689210
