event,node,start,end
form start,,1639477865408,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639477865408,1639477882077
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639477882089,1639477922326
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639477922337,1639477924444
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639477924454,1639477935537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639477935547,1639477940273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639477940308,1639477943089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639477943102,1639477948123
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639477948134,1639477956729
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639477956740,1639477983381
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639477983392,1639477989727
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639477989740,1639477991417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639477991428,1639478023384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639478023397,1639478033823
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639478033834,1639478055607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639478055616,1639478058059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639478058070,1639478086824
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639478086835,1639478089435
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639478089444,1639478100737
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639478100746,1639478105073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639478105081,1639478107682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639478107700,1639478122126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639478122135,1639478124852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639478124863,1639478129988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639478130000,1639478160843
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639478160854,1639478184104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639478184118,1639478189323
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639478189335,1639478191332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639478191343,1639478202586
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639478202606,1639478208461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639478208475,1639478216172
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639478216183,1639478234681
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639478234693,1639478257244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639478257255,1639478262395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639478262407,1639478265504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639478265515,1639478267090
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639478267103,1639478272413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639478272425,1639478275783
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639478275796,1639478293912
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639478293921,1639478294453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639478294462,1639478295198
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639478295207,1639478296218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639478296229,1639478296780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639478296790,1639478297364
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639478297374,1639478297997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639478298007,1639478298630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639478298639,1639478299462
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639478299474,1639478300301
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639478300318,1639478301386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639478301404,1639478302065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639478302074,1639478302953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639478302963,1639478303851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639478303862,1639478313960
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639478313971,1639478315295
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639478315306,1639478318770
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639478318780,1639478320941
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639478320952,1639478323314
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639478323324,1639478326041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639478326052,1639478331297
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639478331311,1639478336417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639478336428,1639478337142
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639478337151,1639478337620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639478337631,1639478338159
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639478338167,1639478338684
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639478338693,1639478339384
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639478339396,1639478340142
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639478340151,1639478351673
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639478351685,1639478356383
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639478356393,1639478371321
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639478371332,1639478373796
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639478373808,1639478382608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639478382617,1639478388966
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639478388978,1639478396163
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639478396174,1639478431042
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639478431053,1639478435510
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639478435521,1639478439335
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639478439347,1639478452636
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639478452648,1639478457514
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639478457525,1639478463840
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639478463852,1639478477030
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639478477041,1639478481081
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639478481093,1639478491261
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639478491274,1639478500120
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639478500135,1639478502153
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639478502164,1639478507552
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639478507563,1639478513243
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639478513253,1639478524486
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639478524496,1639478545635
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639478545646,1639478549333
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639478549345,1639478559601
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639478559616,1639478563142
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639478563155,1639478567336
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639478567346,1639478571120
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639478571130,1639478574526
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639478574537,1639478578454
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639478578464,1639478592962
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639478592975,1639478610237
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639478610250,1639478616286
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639478616296,1639478619264
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639478619275,1639478635028
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639478635043,1639478658970
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639478658982,1639478676284
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639478676293,1639478693310
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639478693328,1639478700608
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639478700618,1639478716335
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639478716345,1639478721060
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639478721072,1639478725006
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639478725018,1639478731372
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639478731383,1639478739809
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639478739821,1639478759465
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639478759486,1639478777275
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639478777285,1639478783072
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639478783083,1639478787418
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639478787429,1639478805661
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639478805671,1639478813964
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639478813976,1639478823351
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639478823364,1639478856004
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639478856015,1639478868977
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639478868992,1639478892083
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639478892093,1639478896340
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639478896350,1639478909898
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639478909908,1639478915631
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639478915643,1639479000670
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639479000685,1639479012568
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639479012580,1639479016624
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639479016645,1639479026759
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639479026771,1639479091474
end screen,,1639479091482,1639479323750
form save,,1639479324020,
form exit,,1639479324021,
form finalize,,1639479324021,

