event,node,start,end
form start,,1639481082541,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639481082542,1639481083608
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639481083625,1639481085111
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639481085129,1639481086627
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639481086641,1639481093151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639481093168,1639481098763
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639481098823,1639481101605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639481101636,1639481132025
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639481132057,1639481134059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639481134088,1639481140007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639481140023,1639481165262
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639481165277,1639481168617
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639481168631,1639481175790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639481175829,1639481197419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639481197435,1639481243414
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639481243434,1639481249450
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639481249466,1639481260312
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639481260329,1639481266888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639481266903,1639481283300
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639481283317,1639481288299
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639481288317,1639481294290
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639481294305,1639481308359
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639481308374,1639481313587
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639481313604,1639481322657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639481322673,1639481328070
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639481328095,1639481341816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639481341835,1639481343829
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639481343851,1639481345453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639481345476,1639481347081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639481347103,1639481348861
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639481348885,1639481351679
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639481351698,1639481353722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639481353746,1639481357104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639481357121,1639481360902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639481360927,1639481365394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639481365412,1639481367981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639481368002,1639481376089
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639481376103,1639481389369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639481389383,1639481397228
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639481397243,1639481399988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639481400002,1639481405586
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639481405600,1639481416924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639481416939,1639481421593
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639481421611,1639481425336
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639481425353,1639481428889
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639481428901,1639481439114
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639481439127,1639481443447
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639481443460,1639481449757
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639481449773,1639481454284
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639481454303,1639481460988
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_when,1639481461004,1639481465643
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_type,1639481465661,1639481473735
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639481473754,1639481480101
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639481480117,1639481489975
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639481489991,1639481494864
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639481494880,1639481499302
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639481499314,1639481503670
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639481503685,1639481511977
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639481511991,1639481514921
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639481514939,1639481525614
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639481525634,1639481529586
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639481529604,1639481533246
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639481533263,1639481536846
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639481536862,1639481539670
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639481539693,1639481541513
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639481541536,1639481543258
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639481543278,1639481545350
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639481545370,1639481555646
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639481555674,1639481560740
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639481560757,1639481562404
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639481562422,1639481566473
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639481566487,1639481569165
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639481569180,1639481592899
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639481592919,1639481598127
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639481598144,1639481602763
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639481602779,1639481604075
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639481604103,1639481606434
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639481606456,1639481618917
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639481618931,1639481623394
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639481623408,1639481643890
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639481643904,1639481650117
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639481650132,1639481660521
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639481660539,1639481666617
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639481666631,1639481672241
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639481672259,1639481675035
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639481675051,1639481676971
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639481676984,1639481680190
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639481680201,1639481685718
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639481685735,1639481688639
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639481688655,1639481691468
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639481691487,1639481700455
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639481700474,1639481716446
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639481716471,1639481721544
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639481721562,1639481814832
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639481814872,1639481818488
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639481818503,1639481822216
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639481822229,1639481827206
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639481827222,1639481832359
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639481832373,1639481835597
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639481835617,1639481838671
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639481838686,1639482123132
end screen,,1639482123157,1639482124310
form save,,1639482124882,
form exit,,1639482124883,
form finalize,,1639482124884,
form resume,,1639482695196,
jump,,1639482695197,1639482696677
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639482696725,1639482701105
form exit,,1639482701105,

