event,node,start,end
form start,,1638850448000,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638850448005,1638850451451
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638850451487,1638850454185
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638850454194,1638850456441
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638850456449,1638850468320
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638850468329,1638850472590
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638850472687,1638850476980
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638850476996,1638850484475
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638850484483,1638850485702
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638850485712,1638850490397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638850490408,1638850496078
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638850496088,1638850497184
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638850497194,1638850510605
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638850510614,1638850519337
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638850519345,1638850528805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638850528814,1638850531467
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638850531475,1638850542902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638850542911,1638850548230
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638850548239,1638850550339
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638850550349,1638850563680
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638850563689,1638850566946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638850566956,1638850569729
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638850569737,1638850581680
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638850581689,1638850583401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638850583410,1638850585915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638850585924,1638850587602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638850587611,1638850592209
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638850592218,1638850595267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638850595274,1638850606959
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638850606968,1638850608643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638850608652,1638850613574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638850613582,1638850615020
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638850615029,1638850617083
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638850617093,1638850625268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638850625277,1638850627486
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638850627494,1638850629059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638850629067,1638850630572
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638850630582,1638850631901
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638850631910,1638850633282
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638850633290,1638850636364
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638850636376,1638850638779
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638850638789,1638850647532
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638850647565,1638850651592
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638850651617,1638850653708
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638850653717,1638850667998
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638850668005,1638850670817
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638850670825,1638850673177
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638850673186,1638850676269
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638850676278,1638850689306
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638850689314,1638850690526
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638850690533,1638850692914
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638850692923,1638850697028
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638850697037,1638850702419
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638850702427,1638850704378
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638850704386,1638850706504
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638850706514,1638850708978
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638850708987,1638850712919
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638850712927,1638850715140
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638850715148,1638850719110
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638850719119,1638850779056
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638850779065,1638850782155
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638850782164,1638850807013
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638850807022,1638850811170
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638850811178,1638850824013
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638850824022,1638850826451
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638850826460,1638850829179
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638850829189,1638850832561
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638850832569,1638850846099
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638850846109,1638850854690
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638850854700,1638850863220
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638850863233,1638850866936
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638850866944,1638850869192
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638850869202,1638850872465
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638850872473,1638850874565
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638850874573,1638850877208
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638850877216,1638850882083
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638850882090,1638850885322
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638850885329,1638850887473
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638850887483,1638850890089
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638850890097,1638850892849
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638850892858,1638850901890
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638850901898,1638850911427
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638850911437,1638850922293
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1638850922301,1638850933619
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638850933627,1638850944520
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638850944528,1638850948624
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638850948632,1638850950619
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638850950627,1638850952091
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638850952099,1638850954408
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638850954415,1638850976613
end screen,,1638850976621,1638851008876
form save,,1638851009131,
form exit,,1638851009131,
form finalize,,1638851009131,

