event,node,start,end
form start,,1638870029822,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638870029823,1638870032147
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638870032158,1638870039969
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638870039980,1638870052923
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638870052931,1638870062893
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638870062901,1638870067227
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638870067259,1638870071285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638870071297,1638870078866
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638870078874,1638870080232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638870080239,1638870083861
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638870083870,1638870107174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638870107185,1638870111114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638870111122,1638870128429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638870128436,1638870138944
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638870138952,1638870164744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638870164752,1638870166563
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638870166572,1638870208810
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638870208818,1638870214149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638870214157,1638870216039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638870216047,1638870239404
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638870239412,1638870241742
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638870241749,1638870249558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638870249566,1638870269847
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638870269856,1638870271675
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638870271684,1638870275168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638870275177,1638870280438
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638870280446,1638870282475
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638870282483,1638870284211
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638870284222,1638870286079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638870286086,1638870287477
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638870287485,1638870289018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638870289027,1638870290785
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638870290793,1638870297603
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638870297611,1638870300064
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638870300072,1638870300807
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638870300814,1638870302774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638870302781,1638870305934
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638870305943,1638870308619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638870308626,1638870324612
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638870324620,1638870326095
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638870326104,1638870327499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638870327509,1638870328924
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638870328932,1638870330841
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638870330850,1638870332548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638870332556,1638870334532
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638870334540,1638870336625
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638870336639,1638870349205
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638870349230,1638870351771
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638870351785,1638870353555
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638870353563,1638870360108
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638870360116,1638870364136
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638870364144,1638870371403
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638870371412,1638870374032
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638870374040,1638870386564
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638870386572,1638870387825
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638870387833,1638870390093
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638870390101,1638870393364
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638870393373,1638870395917
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638870395926,1638870398648
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638870398658,1638870400664
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638870400672,1638870408774
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638870408781,1638870411000
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638870411007,1638870413706
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638870413715,1638870416053
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638870416063,1638870417669
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638870417680,1638870420095
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638870420102,1638870431101
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638870431108,1638870434754
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638870434766,1638870437230
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638870437238,1638870439342
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638870439350,1638870449886
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638870449894,1638870450375
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638870450384,1638870450890
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638870450898,1638870452217
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638870452225,1638870452780
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638870452789,1638870453307
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638870453316,1638870455616
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638870455624,1638870457450
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638870457464,1638870461099
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638870461106,1638870462854
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638870462861,1638870481680
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638870481689,1638870486051
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638870486058,1638870489500
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638870489507,1638870498330
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638870498338,1638870509203
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638870509213,1638870511081
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638870511092,1638870516708
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638870516717,1638870520573
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638870520582,1638870525009
