event,node,start,end
form start,,1638353533461,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638353533462,1638353534184
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638353534191,1638353535471
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638353535478,1638354020584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638354020592,1638354026032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638354026041,1638354029392
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638354029422,1638354031313
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638354031323,1638354036160
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638354036167,1638354047591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638354047598,1638354050068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638354050075,1638354053072
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638354053078,1638354053790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638354053797,1638354061427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638354061435,1638354065640
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638354065647,1638354070085
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638354070092,1638354071521
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638354071532,1638354081599
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638354081606,1638354095671
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638354095678,1638354097350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638354097358,1638354110393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638354110400,1638354111722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638354111730,1638354112583
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638354112591,1638354114505
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638354114513,1638354117128
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638354117136,1638354129888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638354129898,1638354131200
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638354131208,1638354134133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638354134141,1638354135311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638354135319,1638354137099
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638354137107,1638354143099
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638354143107,1638354148112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638354148120,1638354149767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638354149775,1638354150594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638354150601,1638354151472
