event,node,start,end
form start,,1639436566810,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639436566811,1639436567888
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639436567896,1639436569571
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639436569577,1639436573219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639436573226,1639436585620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639436585627,1639436589111
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639436589170,1639436595057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639436595067,1639436607664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639436607671,1639436629531
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639436629538,1639436632656
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639436632663,1639436639918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639436639924,1639436640897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639436640904,1639436654532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639436654539,1639436689591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639436689598,1639436693701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639436693708,1639436709529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639436709536,1639436749815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639436749822,1639436756409
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639436756416,1639436758447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639436758454,1639436769130
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639436769137,1639436782676
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639436782682,1639436796239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639436796246,1639436804027
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639436804035,1639436812630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639436812637,1639436821726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639436821733,1639436825517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639436825524,1639436835537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639436835544,1639436843718
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639436843726,1639436857813
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639436857820,1639436865505
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639436865511,1639436868234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639436868241,1639436870657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639436870664,1639436877145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639436877152,1639436879170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639436879177,1639436879879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639436879885,1639436880479
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639436880486,1639436881140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639436881147,1639436881850
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639436881857,1639436886190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639436886197,1639436886674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639436886682,1639436887131
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639436887140,1639436887607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639436887615,1639436888166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639436888173,1639436889977
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639436889984,1639436891535
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639436891541,1639436893449
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639436893457,1639436895232
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639436895239,1639436897322
