event,node,start,end
form start,,1638945533309,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638945533310,1638945534271
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638945534287,1638945535387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638945535394,1638945536837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638945536845,1638945540221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638945540228,1638945544215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638945544254,1638945547082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638945547113,1638945573118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638945573126,1638945633114
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638945633122,1638945635671
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638945635701,1638945636139
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638945636168,1638945636849
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638945636858,1638945776818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638945776827,1638945779100
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638945779111,1638945796296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638945796304,1638945797223
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638945797230,1638945804802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638945804810,1638945826494
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638945826502,1638945827396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638945827404,1638945830755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638945830763,1638945858372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638945858381,1638945860327
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638945860336,1638945880315
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638945880324,1638945921818
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638945921825,1638945923539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638945923548,1638945946059
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638945946073,1638945947195
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638945947204,1638945952542
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638945952550,1638945954205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638945954215,1638945958600
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638945958608,1638945982791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638945982800,1638945984780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638945984788,1638946002887
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638946002896,1638946004441
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638946004449,1638946008268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638946008276,1638946010332
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638946010340,1638946027153
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638946027161,1638946034689
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638946034698,1638946036035
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638946036043,1638946037338
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638946037347,1638946039176
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638946039186,1638946041574
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638946041582,1638946043396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638946043404,1638946045719
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638946045728,1638946047248
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638946047256,1638946048618
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638946048626,1638946050615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638946050623,1638946051726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638946051734,1638946052646
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638946052654,1638946053499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638946053507,1638946054409
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638946054418,1638946065832
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638946065840,1638946069107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638946069115,1638946071087
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638946071096,1638946072399
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638946072406,1638946072800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638946072807,1638946082885
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638946082893,1638946085000
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638946085008,1638946094300
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638946094309,1638946100032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638946100043,1638946101962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638946101970,1638946106392
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638946106399,1638946113995
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1638946114003,1638946116084
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638946116092,1638946117947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638946117956,1638946120019
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638946120027,1638946128450
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638946128459,1638946134107
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638946134135,1638946152573
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638946152610,1638946157629
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638946157638,1638946161347
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638946161362,1638946168207
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638946168217,1638946170388
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638946170397,1638946172402
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638946172412,1638946174498
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638946174509,1638946179408
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638946179419,1638946182038
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638946182054,1638946185039
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638946185048,1638946186677
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638946186684,1638946188415
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638946188423,1638946190200
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638946190209,1638946191219
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638946191229,1638946201643
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638946201653,1638946206481
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638946206489,1638946210566
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638946210574,1638946212479
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638946212490,1638946214393
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638946214401,1638946216515
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638946216523,1638946221805
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638946221813,1638946232433
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638946232442,1638946237945
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638946237954,1638946239190
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638946239199,1638946241550
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638946241558,1638946245410
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638946245418,1638946247047
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638946247056,1638946251283
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638946251295,1638946253046
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638946253053,1638946269047
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638946269056,1638946272472
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638946272481,1638946274803
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638946274811,1638946287688
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638946287697,1638946292543
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638946292550,1638946301902
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638946301913,1638946304910
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638946304918,1638946306288
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638946306298,1638946307985
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638946307993,1638946309623
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638946309631,1638946313399
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638946313408,1638946320552
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638946320560,1638946322131
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638946322144,1638946324930
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638946324939,1638946370077
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638946370086,1638946376386
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638946376394,1638946378316
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1638946378326,1638946380003
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638946380016,1638946382243
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638946382251,1638946384074
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638946384082,1638946385803
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638946385813,1638946387767
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638946387775,1638946390215
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638946390224,1638946391827
end screen,,1638946391836,1638946624219
form save,,1638946624559,
form exit,,1638946624559,
form finalize,,1638946624559,

