event, node, start, end
form start,,1638784562657,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638784562658,1638784584364
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638784584365,1638784585664
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/organization,1638784585665,1638784596131
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/assessment_code,1638784596133,1638784603454
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/province,1638784603455,1638784608268
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/district,1638784608269,1638784611118
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/village,1638784611119,1638784616562
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/gps,1638784616563,1638784706794
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/date_assessment,1638784706795,1638784732021
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/interviewer_name,1638784732022,1638784735360
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/hh_note,1638784735361,1638784736212
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/name,1638784736213,1638784741072
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/father_name,1638784741072,1638784742380
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/name,1638784742381,1638784743340
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/father_name,1638784743340,1638784749598
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_age,1638784749599,1638784752952
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_gender,1638784752952,1638784787822
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_age,1638784787823,1638784788449
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_gender,1638784788450,1638784789565
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/contact_num,1638784789566,1638784803184
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/sec_contact_num,1638784803185,1638784808221
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type,1638784808222,1638784813383
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type_other,1638784813384,1638784820521
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/nid_no,1638784820522,1638784837283
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_hohh,1638784837284,1638784838828
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1638784838829,1638784843475
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638784843476,1638784857573
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1638784857574,1638784859385
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638784859386,1638784860780
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638784860781,1638784862180
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1638784862181,1638784864122
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1638784864123,1638784865489
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_6_17,1638784865490,1638784870900
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_6_17,1638784870901,1638784872331
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_female,1638784872332,1638784875183
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1638784875184,1638784876388
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_female,1638784876389,1638784877103
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1638784877104,1638784878365
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1638784878366,1638784879831
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1638784879832,1638784880582
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1638784880583,1638784881771
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1638784881772,1638784883227
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1638784883228,1638784885670
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_seeing,1638784885671,1638784888459
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1638784888460,1638784893885
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_walking,1638784893886,1638784901698
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_remembering,1638784901699,1638784914880
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/hhh_diff_remembering,1638784914881,1638784916196
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_self_care,1638784916198,1638784918752
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_communicating,1638784918753,1638784927191
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/heatlh_issue,1638784927192,1638784930341
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/current_status,1638784930342,1638784931940
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement[1]/move_intention,1638784931941,1638784933581
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected,1638784933582,1638784935952
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/event_affected_o,1638784935953,1638784939819
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact[1]/loss_family_member,1638784939820,1638784943171
question,/ameM9v8nctyy8MRHMJfRX7/assistance[1]/assist_received,1638784943172,1638784947032
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/insuff_food,1638784947033,1638784952183
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/sold_asset,1638784952184,1638784956250
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies[1]/seek_employment,1638784956251,1638784959917
