event,node,start,end
form start,,1639289921838,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639289921839,1639289925186
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639289925191,1639289926757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639289926760,1639289928518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639289928524,1639289940539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639289940548,1639289941746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639289941751,1639289943191
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639289943196,1639289946895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639289947002,1639289949668
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639289949748,1639289976460
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639289976468,1639290020500
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639290020505,1639290022833
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639290022838,1639290029644
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639290029649,1639290032850
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639290032857,1639290170225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639290170240,1639290171241
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639290171247,1639290172953
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639290172971,1639290173979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639290173983,1639290175880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639290175886,1639290176888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639290176893,1639290181295
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639290181300,1639290215268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639290215274,1639290216790
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639290216794,1639290222694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639290222701,1639290234066
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639290234070,1639290235842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639290235847,1639290261507
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639290261511,1639290266032
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639290266041,1639290267754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639290267758,1639290281693
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639290281698,1639290287108
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639290287115,1639290302432
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639290302439,1639290304143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639290304148,1639290305546
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639290305552,1639290307628
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639290307635,1639290309848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639290309854,1639290313907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639290313911,1639290321220
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639290321226,1639290322609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639290322621,1639290323587
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639290323594,1639290326582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639290326587,1639290328007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639290328014,1639290329530
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639290329537,1639290330901
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639290330907,1639290340648
