event,node,start,end
form start,,1639382296232,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639382296233,1639382297146
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639382297157,1639382298592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639382298602,1639382324903
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639382324915,1639382333504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639382333513,1639382337724
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639382337791,1639382353882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639382353919,1639382400557
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639382400569,1639382764777
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639382764786,1639382767981
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639382767990,1639382773091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639382773099,1639382773993
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639382774001,1639382817701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639382817709,1639382836918
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639382836926,1639382845083
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639382845091,1639382847215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639382847222,1639382871051
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639382871059,1639382875534
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639382875543,1639382877145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639382877154,1639382902888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639382902896,1639382911242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639382911252,1639382949120
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639382949129,1639382953684
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639382953693,1639382976401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639382976410,1639382982074
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639382982083,1639382985222
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639382985231,1639383002484
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639383002492,1639383016039
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639383016048,1639383022998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639383023006,1639383026143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639383026152,1639383028905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639383028913,1639383030735
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639383030744,1639383033280
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639383033289,1639383035307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639383035316,1639383043613
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639383043622,1639383051525
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639383051534,1639383054517
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639383054526,1639383057480
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639383057493,1639383062062
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639383062072,1639383062801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639383062808,1639383063902
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639383063911,1639383065895
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639383065902,1639383068620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639383068628,1639383071745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639383071753,1639383075158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639383075167,1639383084579
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639383084587,1639383087063
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639383087072,1639383090159
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639383090168,1639383122599
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639383122607,1639383136490
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639383136497,1639383137789
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639383137796,1639383139044
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639383139052,1639383144636
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639383144645,1639383146474
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639383146483,1639383149491
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639383149499,1639383161984
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639383161992,1639383163044
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639383163054,1639383165194
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639383165202,1639383171786
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1639383171794,1639383213528
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639383213536,1639383214916
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639383214924,1639383215693
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639383215701,1639383216401
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639383216410,1639383221137
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639383221145,1639383227281
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639383227292,1639383240171
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639383240181,1639383243842
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639383243850,1639383249346
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639383249355,1639383258613
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639383258621,1639383261256
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639383261264,1639383268781
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639383268792,1639383269782
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639383269791,1639383272092
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639383272100,1639383274371
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639383274379,1639383276850
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639383276858,1639383278663
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639383278672,1639383290975
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639383290984,1639383296068
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639383296076,1639383302436
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639383302443,1639383311316
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639383311325,1639383313399
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639383313407,1639383314356
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639383314363,1639383323299
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639383323306,1639383328446
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639383328453,1639383330909
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639383330916,1639383333497
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639383333505,1639383337312
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639383337320,1639383347169
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639383347179,1639383353893
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639383353902,1639383359348
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639383359355,1639383379873
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639383379881,1639383406728
