event,node,start,end
form start,,1639306849948,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639306849950,1639306885586
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639306885612,1639306887120
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639306887127,1639306888688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639306888696,1639306907814
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639306907831,1639306911595
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639306911660,1639306916407
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639306916457,1639306927787
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639306927802,1639306964522
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639306964532,1639306968127
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639306968139,1639306975884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639306975895,1639306976744
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639306976751,1639306993041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639306993049,1639307002819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639307002829,1639307011990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639307012002,1639307013643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639307013656,1639307024998
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639307025011,1639307028745
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639307028756,1639307030233
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639307030245,1639307042204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639307042213,1639307044041
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639307044050,1639307047860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639307047872,1639307058077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639307058087,1639307059802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639307059811,1639307060623
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639307060636,1639307063063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639307063074,1639307069546
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639307069554,1639307071118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639307071127,1639307081274
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639307081283,1639307083873
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639307083885,1639307086115
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639307086123,1639307087560
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639307087570,1639307089497
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639307089507,1639307094310
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639307094318,1639307098836
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639307098848,1639307102271
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639307102279,1639307110046
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639307110054,1639307110740
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639307110748,1639307111351
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639307111360,1639307112272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639307112282,1639307113253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639307113261,1639307114555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639307114565,1639307115558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639307115574,1639307119707
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639307119714,1639307121104
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639307121112,1639307122552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639307122567,1639307123394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639307123401,1639307123817
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639307123825,1639307124342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639307124352,1639307126722
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639307126730,1639307127254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639307127264,1639307127761
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639307127769,1639307128193
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639307128202,1639307128766
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639307128775,1639307129496
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639307129507,1639307130245
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639307130253,1639307131654
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639307131665,1639307134838
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639307134846,1639307136126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639307136137,1639307138418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639307138429,1639307140362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639307140369,1639307140739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639307140747,1639307141307
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639307141318,1639307142812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639307142821,1639307146018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639307146026,1639307146973
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639307146982,1639307147414
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639307147423,1639307149265
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639307149273,1639307150963
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639307150972,1639307155133
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639307155142,1639307156158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639307156169,1639307157168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639307157179,1639307163125
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639307163134,1639307168297
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639307168306,1639307172869
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639307172878,1639307188459
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639307188468,1639307192295
