event,node,start,end
form start,,1639468878690,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639468878691,1639468879745
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639468879753,1639468881631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639468881639,1639468883197
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639468883207,1639468888468
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639468888482,1639468890331
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639468890341,1639468901239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639468901252,1639468905438
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639468905470,1639468908432
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639468908458,1639468917240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639468917252,1639468924268
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639468924279,1639468926455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639468926467,1639468932856
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639468932868,1639468935610
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639468935623,1639468945354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639468945365,1639468956414
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639468956426,1639468965067
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639468965075,1639468968113
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639468968123,1639469001797
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639469001806,1639469011228
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639469011237,1639469014782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type_other,1639469014794,1639469030537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639469030547,1639469059341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639469059350,1639469062955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639469062964,1639469066364
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639469066376,1639469105211
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639469105220,1639469112273
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639469112285,1639469124577
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639469124587,1639469129311
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639469129321,1639469152204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639469152213,1639469155004
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639469155016,1639469157415
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639469157427,1639469159396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639469159408,1639469162757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639469162767,1639469165962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639469165972,1639469170792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639469170802,1639469173302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639469173313,1639469181657
