event,node,start,end
form start,,1638785223794,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638785223795,1638785461573
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638785461585,1638785465396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638785465402,1638785467874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638785467882,1638785474564
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638785474572,1638785479803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638785479903,1638785489026
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638785489039,1638785501662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638785501668,1638785503157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638785503164,1638785506843
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638785506850,1638785511594
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638785511599,1638785515865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638785515871,1638785546002
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638785546011,1638785554750
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638785554755,1638785563408
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638785563415,1638785565615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638785565622,1638785596856
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638785596863,1638785603545
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638785603553,1638785607309
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638785607317,1638785634226
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638785634232,1638785636482
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638785636491,1638785649501
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638785649507,1638785658630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638785658637,1638785666794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638785666800,1638785669859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638785669865,1638785671688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638785671696,1638785680068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638785680075,1638785682386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638785682395,1638785684112
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638785684119,1638785685716
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638785685722,1638785687940
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638785687947,1638785689598
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638785689604,1638785691324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638785691330,1638785693138
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638785693145,1638785695189
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638785695195,1638785696686
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638785696693,1638785697896
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638785697904,1638785699118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638785699124,1638785700418
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638785700425,1638785702856
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638785702861,1638785703962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638785703969,1638785705106
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638785705113,1638785706236
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638785706242,1638785708155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638785708163,1638785710807
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638785710814,1638785720065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638785720073,1638785721845
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638785721851,1638785724752
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638785724758,1638785750187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638785750195,1638785752591
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638785752598,1638785757456
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638785757462,1638785761131
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638785761139,1638785781318
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638785781383,1638785788499
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638785788507,1638785794707
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638785794721,1638785800961
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638785800968,1638785804776
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638785804783,1638785814042
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638785814049,1638785819852
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638785819857,1638785830065
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638785830071,1638785837221
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638785837229,1638785890807
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638785890816,1638785905781
