event,node,start,end
form start,,1639479058811,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639479058812,1639479059547
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639479059554,1639479060812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639479060819,1639479062234
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639479062241,1639479067674
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639479067682,1639479070362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639479070412,1639479072547
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639479072559,1639479079841
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639479079848,1639479093458
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639479093466,1639479095779
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639479095786,1639479105523
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639479105531,1639479106324
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639479106331,1639479107910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639479107917,1639479108694
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639479108703,1639479114852
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639479114860,1639479115569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639479115577,1639479123780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639479123797,1639479131239
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639479131247,1639479138917
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639479138924,1639479140252
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639479140261,1639479154188
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639479154195,1639479160296
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639479160305,1639479162047
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639479162055,1639479192436
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639479192443,1639479193738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639479193746,1639479197626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639479197634,1639479203886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639479203892,1639479205720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639479205727,1639479211411
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639479211418,1639479213713
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639479213721,1639479215082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639479215089,1639479215783
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639479215791,1639479217018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639479217024,1639479225028
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639479225036,1639479231053
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639479231061,1639479234557
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639479234566,1639479237378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639479237386,1639479238747
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639479238758,1639479240616
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639479240623,1639479241967
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639479241975,1639479244837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639479244845,1639479246256
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639479246263,1639479247791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639479247798,1639479248741
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639479248750,1639479249660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639479249667,1639479250579
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639479250587,1639479251448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639479251456,1639479252431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639479252439,1639479253466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639479253474,1639479256803
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639479256810,1639479257520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639479257528,1639479258190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639479258198,1639479258922
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639479258930,1639479259558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639479259565,1639479260373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639479260381,1639479261026
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639479261033,1639479262459
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639479262468,1639479263662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639479263670,1639479265348
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639479265356,1639479266882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639479266890,1639479268118
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639479268126,1639479273657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639479273665,1639479279465
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639479279474,1639479280267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639479280276,1639479280800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639479280809,1639479281401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639479281411,1639479282003
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639479282014,1639479282586
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639479282592,1639479283154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639479283160,1639479284939
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639479284946,1639479285723
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639479285729,1639479286410
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639479286418,1639479287027
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639479287034,1639479287611
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639479287618,1639479288461
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639479288468,1639479289129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639479289136,1639479289796
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639479289804,1639479290546
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639479290554,1639479291548
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639479291556,1639479294385
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639479294393,1639479297474
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639479297486,1639479299575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639479299584,1639479300776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639479300784,1639479303330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639479303338,1639479304281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639479304288,1639479305081
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639479305089,1639479305800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639479305806,1639479306419
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639479306427,1639479306985
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639479306992,1639479307635
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639479307642,1639479308286
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639479308293,1639479309103
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639479309111,1639479309837
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639479309845,1639479310572
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639479310580,1639479311340
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639479311348,1639479312074
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639479312082,1639479314577
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639479314586,1639479316213
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639479316220,1639479318432
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639479318439,1639479320886
