event,node,start,end
form start,,1639475609162,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639475609163,1639475609858
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639475609867,1639475611166
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639475611173,1639475612491
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639475612499,1639475616819
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639475616827,1639475619820
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639475619858,1639475621774
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639475621786,1639475637676
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639475637682,1639475666328
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639475666335,1639475668343
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639475668351,1639475671383
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639475671391,1639475672236
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639475672244,1639475760886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639475760894,1639475766593
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639475766600,1639475773002
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639475773009,1639475774281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639475774288,1639475784124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639475784132,1639475792137
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639475792144,1639475793474
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639475793484,1639475804537
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639475804546,1639475806025
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639475806034,1639475810888
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639475810895,1639475833508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639475833516,1639475836265
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639475836273,1639475837728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639475837735,1639475838688
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639475838696,1639475848448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639475848456,1639475849643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639475849650,1639475850729
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639475850737,1639475851682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639475851689,1639475852476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639475852483,1639475853278
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639475853286,1639475854949
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639475854956,1639475855976
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639475855984,1639475858440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639475858451,1639475858867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639475858874,1639475860906
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639475860912,1639475863087
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639475863094,1639475881988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639475881995,1639475883442
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639475883450,1639475884820
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639475884829,1639475885782
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639475885789,1639475886701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639475886708,1639475887711
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639475887720,1639475888965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639475888976,1639475890352
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639475890361,1639475893703
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639475893710,1639475896460
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639475896494,1639475912386
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639475912397,1639475913949
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639475913959,1639475916631
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639475916640,1639475917885
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639475917891,1639475919540
