event,node,start,end
form start,,1638867249595,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638867249596,1638867269325
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638867269389,1638867281867
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638867281877,1638867284007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638867284012,1638867290021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638867290031,1638867297815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638867297906,1638867302015
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638867302093,1638867336240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638867336277,1638867355173
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638867355187,1638867358905
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638867358911,1638867368781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638867368787,1638867370082
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638867370087,1638867394266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638867394321,1638867407933
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638867407944,1638867416105
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638867416111,1638867418230
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638867418236,1638867429266
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638867429272,1638867452445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638867452464,1638867454606
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638867454614,1638867467387
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638867467418,1638867489359
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638867489365,1638867495060
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638867495068,1638867523660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638867523671,1638867524773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638867524792,1638867529372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638867529381,1638867532831
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638867532850,1638867535393
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638867535400,1638867541073
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638867541077,1638867552636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638867552659,1638867571802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638867571835,1638867577701
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638867577711,1638867579667
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638867579681,1638867580748
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638867580757,1638867581221
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638867581226,1638867581626
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638867581632,1638867581999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638867582004,1638867582339
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638867582345,1638867583016
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638867583021,1638867583705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638867583711,1638867584097
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638867584103,1638867584493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638867584503,1638867584851
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638867584859,1638867585293
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638867585296,1638867585662
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638867585675,1638867586931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638867586937,1638867587485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638867587490,1638867588536
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638867588541,1638867591490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638867591495,1638867592005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638867592011,1638867592475
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638867592482,1638867592900
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638867592905,1638867593316
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638867593319,1638867593720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638867593726,1638867594146
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638867594156,1638867594596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638867594605,1638867594989
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638867594993,1638867597122
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638867597129,1638867598643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638867598649,1638867600400
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638867600405,1638867611439
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1638867611445,1638867612958
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638867612991,1638867621120
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638867621126,1638867629227
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1638867629237,1638867630801
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638867630806,1638867637987
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1638867637992,1638867639834
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638867639842,1638867643471
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638867643483,1638867652581
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638867652590,1638867655342
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638867655347,1638867660810
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638867660820,1638867667952
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638867667956,1638867674509
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected_o,1638867674517,1638867714549
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638867714578,1638867717678
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638867717683,1638867746675
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638867746712,1638867757762
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638867757771,1638867767464
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638867767476,1638867770510
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638867770520,1638867781011
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638867781019,1638867783685
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638867783689,1638867786493
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638867786508,1638867808587
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638867808607,1638867813006
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638867813013,1638867818017
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638867818045,1638867826039
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638867826051,1638867830991
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638867830996,1638867831686
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638867831692,1638867833341
