event,node,start,end
form start,,1639385060189,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639385060190,1639385068527
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639385068538,1639385071244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639385071251,1639385074477
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639385074485,1639385165280
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639385165289,1639385168345
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639385168389,1639385177077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639385177116,1639385214637
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639385214646,1639385283946
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639385283955,1639385287529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639385287537,1639385291481
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639385291489,1639385292303
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639385292311,1639385327589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639385327597,1639385345182
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639385345190,1639385360360
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639385360368,1639385363350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639385363359,1639385411267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639385411275,1639385423031
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639385423038,1639385424854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639385424861,1639385439738
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639385439745,1639385442271
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639385442279,1639385448736
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639385448744,1639385464283
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639385464291,1639385465682
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639385465690,1639385474124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639385474132,1639385476982
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639385476989,1639385488957
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639385488965,1639385490546
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639385490554,1639385500776
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639385500784,1639385531102
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639385531111,1639385537441
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639385537449,1639385549253
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639385549261,1639385553054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639385553062,1639385554532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639385554540,1639385558795
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639385558803,1639385560632
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639385560640,1639385563573
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639385563583,1639385564802
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1639385564810,1639385565795
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639385565806,1639385566255
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639385566263,1639385566728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639385566740,1639385567158
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639385567167,1639385567664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639385567672,1639385568204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639385568212,1639385568846
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639385568854,1639385569577
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639385569587,1639385570209
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639385570216,1639385572977
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639385572985,1639385573429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639385573435,1639385573835
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639385573844,1639385574260
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639385574267,1639385574739
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639385574747,1639385575162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639385575169,1639385575622
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639385575633,1639385582247
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639385582256,1639385586401
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639385586409,1639385600736
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639385600745,1639385609619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639385609628,1639385612576
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639385612584,1639385617096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639385617105,1639385620007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639385620017,1639385622209
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639385622218,1639385644250
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639385644259,1639385649205
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639385649213,1639385656157
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639385656167,1639385658318
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639385658328,1639385659738
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639385659746,1639385703239
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639385703248,1639385733166
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639385733174,1639385735226
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639385735236,1639385753242
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639385753250,1639385754546
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639385754555,1639385755462
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639385755470,1639385763581
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639385763590,1639385772724
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639385772735,1639385775012
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639385775021,1639385777850
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639385777860,1639385783189
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639385783199,1639385786817
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639385786827,1639385787783
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639385787791,1639385789450
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639385789458,1639385791508
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639385791516,1639385793055
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639385793063,1639385794022
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639385794030,1639385795069
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639385795077,1639385796062
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639385796070,1639385797739
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639385797747,1639385800425
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639385800433,1639385801992
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639385802000,1639385803094
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639385803104,1639385808649
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639385808657,1639385811381
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639385811390,1639385839856
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639385839865,1639385842721
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639385842730,1639385846650
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639385846657,1639385869029
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639385869037,1639385869734
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639385869741,1639385870944
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639385870956,1639385877604
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639385877612,1639385880458
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639385880466,1639385891189
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639385891197,1639385898729
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639385898739,1639385907512
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639385907522,1639385910743
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639385910753,1639385912232
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639385912241,1639385913316
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639385913324,1639385915029
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639385915038,1639385925767
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639385925777,1639385928689
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639385928698,1639385930017
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639385930024,1639385942479
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639385942488,1639385965217
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639385965226,1639385973498
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639385973506,1639385981784
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639385981793,1639385987859
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639385987869,1639385990939
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639385990948,1639385993532
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639385993540,1639385995022
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639385995032,1639385997991
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639385998003,1639386001409
end screen,,1639386001418,1639386052656
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1639386052657,1639386053948
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1639386053957,1639386055809
jump,,1639386055809,1639386078570
end screen,,1639386078610,1639386080089
jump,,1639386080090,1639386091539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639386090251,1639386091539
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639386091547,1639386092414
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639386092422,1639386093589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639386093596,1639386094718
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639386094726,1639386096724
