event,node,start,end
form start,,1638772275601,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638772275602,1638772280407
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638772280417,1638772286277
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638772286286,1638772288170
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638772288178,1638772294638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638772294646,1638772298635
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638772298667,1638772301971
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638772301983,1638772307709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638772307717,1638772309055
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638772309063,1638772311743
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638772311751,1638772316063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638772316069,1638772317402
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638772317409,1638772330569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638772330577,1638772343751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638772343760,1638772377398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638772377407,1638772379481
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638772379490,1638772384936
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638772384944,1638772395098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638772395106,1638772401720
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638772401729,1638772416552
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638772416560,1638772427653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638772427662,1638772439470
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638772439478,1638772441938
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638772441946,1638772460631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638772460640,1638772462733
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638772462743,1638772464225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638772464233,1638772466151
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638772466159,1638772468927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638772468936,1638772471882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638772471889,1638772473826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638772473834,1638772475354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638772475361,1638772480515
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638772480523,1638772483168
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638772483176,1638772487636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638772487644,1638772496310
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638772496317,1638772497956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638772497964,1638772499395
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638772499403,1638772500645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638772500653,1638772502205
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638772502216,1638772506825
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638772506832,1638772509398
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638772509406,1638772529122
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638772529151,1638772533793
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638772533805,1638772537381
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638772537389,1638772544722
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638772544730,1638772547707
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638772547716,1638772560603
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638772560611,1638772565374
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638772565382,1638772584006
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638772584017,1638772585255
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638772585264,1638772587663
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638772587671,1638772594399
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638772594407,1638772603330
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638772603338,1638772605650
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638772605657,1638772607776
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638772607784,1638772609280
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638772609287,1638772611425
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638772611434,1638772614863
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638772614871,1638772616899
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638772616906,1638772618050
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638772618058,1638772624719
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638772624727,1638772627972
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638772627980,1638772632596
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638772632604,1638772636597
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638772636606,1638772644072
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638772644080,1638772673902
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638772673911,1638772680330
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638772680342,1638772683415
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638772683422,1638772686712
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638772686720,1638772691630
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638772691638,1638772705423
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638772705431,1638772708824
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638772708832,1638772711405
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638772711415,1638772713486
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638772713495,1638772721319
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638772721329,1638772724756
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638772724764,1638772732009
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638772732018,1638772734503
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638772734510,1638772754911
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638772754919,1638772773745
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1638772773754,1638772775484
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1638772775494,1638772779807
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1638772779815,1638772783672
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1638772783681,1638772787652
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1638772787659,1638772801437
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638772801444,1638772803680
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638772803687,1638772805050
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1638772805057,1638772805914
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/feedback_preference,1638772805921,1638772810779
question,/ameM9v8nctyy8MRHMJfRX7/comment_box,1638772810786,1638772857649
end screen,,1638772857657,1638772912761
form save,,1638772912948,
form exit,,1638772912948,
form finalize,,1638772912948,

