event,node,start,end
form start,,1638336703197,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638336703200,1638336704175
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638336704195,1638336708930
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638336708941,1638336711766
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638336711780,1638336717781
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638336717795,1638336721425
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638336721508,1638336725281
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638336725310,1638336793230
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638336793245,1638336853021
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638336853036,1638336857571
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638336857583,1638336882636
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638336882651,1638336883529
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638336883543,1638336916357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638336916371,1638337034194
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638337034208,1638337038608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638337038622,1638337040768
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638337040783,1638337050229
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638337050245,1638337059172
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638337059186,1638337060264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638337060280,1638337060732
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638337060748,1638337062493
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638337062510,1638337071084
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638337071099,1638337072954
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638337072972,1638337076615
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638337076630,1638337085569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638337085583,1638337095187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638337095204,1638337098875
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638337098889,1638337123017
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638337123032,1638337124345
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638337124358,1638337126880
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638337126893,1638337129575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638337129587,1638337131443
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638337131456,1638337133504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638337133522,1638337135130
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638337135145,1638337147943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638337147955,1638337149396
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638337149410,1638337150705
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638337150718,1638337153491
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1638337153505,1638337161433
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1638337161447,1638337166706
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1638337166721,1638337169909
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1638337169922,1638337172887
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638337172901,1638337177034
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1638337177048,1638337177567
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1638337177578,1638337178620
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1638337178637,1638337185302
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1638337185315,1638337192508
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1638337192523,1638337205407
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1638337205421,1638337212105
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1638337212131,1638337214883
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1638337214909,1638337224059
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1638337224074,1638337234446
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1638337234463,1638337245392
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1638337245407,1638337253709
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1638337253723,1638337256971
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1638337256986,1638337269163
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1638337269176,1638337281078
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1638337281092,1638337288611
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1638337288623,1638337299263
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1638337299278,1638337316808
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1638337316821,1638337320920
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1638337320935,1638337323353
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1638337323367,1638337324052
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1638337324066,1638337330931
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1638337330945,1638337335445
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1638337335458,1638337338214
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1638337338229,1638337341901
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1638337341914,1638337344996
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1638337345010,1638337348250
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1638337348263,1638337353388
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1638337353402,1638337368797
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1638337368811,1638337372814
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1638337372828,1638337375199
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1638337375214,1638337380218
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1638337380231,1638337388730
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1638337388743,1638337394875
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1638337394886,1638337404302
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638337404315,1638337408340
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638337408353,1638337409071
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1638337409085,1638337410750
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1638337410763,1638337425029
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1638337425043,1638337439087
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1638337439102,1638337441998
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1638337442015,1638337453260
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1638337453273,1638337472031
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1638337472045,1638337499894
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1638337499906,1638337508463
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1638337508477,1638337517414
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1638337517427,1638337526140
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1638337526152,1638337541474
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1638337541489,1638337547055
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1638337547069,1638337554070
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1638337554083,1638337561921
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1638337561934,1638337588884
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1638337588899,1638337595425
