event,node,start,end
form start,,1639370629008,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639370629009,1639370709104
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639370709115,1639370898007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639370898017,1639370899297
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639370899306,1639370909809
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639370909817,1639370915190
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639370915228,1639370918482
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639370918492,1639370923780
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639370923788,1639371059195
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639371059205,1639371061954
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639371061963,1639371066808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639371066816,1639371068487
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639371068495,1639371073584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639371073593,1639371082575
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639371082582,1639371085124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639371085131,1639371086428
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639371086435,1639371127254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639371127262,1639371133103
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639371133111,1639371134624
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639371134634,1639371148602
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639371148611,1639371149882
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639371149890,1639371152279
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639371152286,1639371166777
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639371166785,1639371167796
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639371167805,1639371168916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639371168924,1639371169927
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639371169935,1639371170863
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639371170871,1639371171791
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639371171799,1639371172860
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639371172868,1639371173754
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639371173762,1639371174631
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639371174636,1639371175559
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639371175566,1639371177748
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639371177755,1639371178684
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639371178691,1639371189379
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639371189386,1639371191092
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639371191101,1639371195278
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639371195288,1639371198228
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639371198237,1639371204319
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639371204331,1639371205799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639371205806,1639371212358
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639371212368,1639371214145
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639371214157,1639371216468
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639371216477,1639371218048
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639371218056,1639371223546
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639371223554,1639371225468
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639371225476,1639371228660
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639371228692,1639371231141
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639371231153,1639371232403
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639371232411,1639371236188
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639371236200,1639371237592
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639371237607,1639371243324
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639371243334,1639371244321
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639371244332,1639371245734
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639371245744,1639371247247
