event,node,start,end
form start,,1639293304541,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639293304542,1639293305656
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639293305666,1639293324944
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639293324953,1639293326964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639293326974,1639293335829
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639293335838,1639293336865
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639293336874,1639293340985
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639293340995,1639293347010
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639293347059,1639293350836
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639293350852,1639293364264
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639293364271,1639293655049
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639293655060,1639293660915
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639293660925,1639293695725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639293695733,1639293696669
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639293696678,1639293710532
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639293710541,1639293723007
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639293723013,1639293745935
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639293745944,1639293748501
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639293748509,1639293763759
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639293763766,1639293772165
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639293772171,1639293773660
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639293773669,1639293781874
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639293781884,1639293787991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639293787999,1639293791065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639293791073,1639293801645
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639293801653,1639293803374
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639293803383,1639293806065
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639293806073,1639293808154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639293808162,1639293824181
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639293824189,1639293826988
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639293826996,1639293835979
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639293835988,1639293845287
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639293845297,1639293849407
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639293849415,1639293850526
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639293850534,1639293851237
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639293851245,1639293854879
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639293854886,1639293856718
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639293856727,1639293860236
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639293860245,1639293863210
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639293863219,1639293883005
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639293883015,1639293891445
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639293891455,1639293893466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639293893479,1639293899492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639293899501,1639293901171
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639293901182,1639293903143
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639293903154,1639293913822
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639293913836,1639293944270
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639293944279,1639293956152
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639293956162,1639293961166
