event,node,start,end
form start,,1639391727656,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639391727656,1639391728703
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639391728713,1639391729846
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639391729851,1639391731057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639391731063,1639391736218
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639391736224,1639391739709
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639391739770,1639391741767
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639391741776,1639391759499
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639391759505,1639391760350
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639391760356,1639391763063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639391763070,1639391801240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639391801248,1639391810764
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639391810772,1639391836322
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639391836328,1639391837421
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639391837428,1639391848518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639391848524,1639391862124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639391862130,1639391869241
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639391869248,1639391870657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639391870665,1639391887258
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639391887265,1639391891451
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639391891458,1639391893859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639391893867,1639391902294
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639391902300,1639391903726
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639391903733,1639391907931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639391907939,1639391920242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639391920249,1639391923960
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639391923967,1639391935669
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639391935676,1639391937215
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639391937222,1639391942124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639391942130,1639391943453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639391943460,1639391955544
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639391955551,1639391961398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639391961404,1639391962934
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639391962940,1639391964092
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639391964099,1639391968398
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639391968404,1639391975569
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639391975576,1639391981255
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639391981262,1639391982313
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639391982319,1639391983671
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639391983677,1639391984202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639391984209,1639391985429
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639391985436,1639391988987
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639391988993,1639391998957
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639391998963,1639392004607
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639392004614,1639392015572
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639392015580,1639392020276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_remembering,1639392020285,1639392021508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639392021514,1639392024348
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639392024354,1639392026639
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639392026646,1639392032635
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639392032643,1639392034348
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639392034357,1639392035804
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639392035811,1639392037480
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639392037487,1639392039905
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639392039912,1639392041659
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639392041666,1639392048171
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639392048179,1639392051174
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639392051182,1639392059032
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639392059042,1639392061136
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639392061145,1639392066248
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639392066255,1639392074674
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639392074681,1639392076213
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639392076221,1639392077217
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639392077223,1639392079048
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639392079055,1639392084320
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639392084327,1639392093665
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639392093672,1639392095389
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639392095396,1639392096635
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639392096642,1639392100548
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639392100555,1639392106785
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639392106791,1639392108729
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639392108737,1639392111382
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639392111389,1639392112557
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639392112565,1639392114083
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639392114090,1639392117127
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639392117133,1639392118073
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639392118080,1639392121364
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639392121371,1639392122790
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639392122797,1639392124180
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639392124187,1639392125641
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639392125647,1639392127953
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639392127959,1639392131727
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639392131740,1639392134452
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639392134458,1639392138584
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639392138591,1639392140917
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639392140926,1639392146588
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639392146594,1639392148934
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639392148941,1639392151339
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639392151346,1639392152995
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639392153002,1639392155736
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_disability_friendly,1639392155743,1639392157673
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639392157681,1639392159312
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639392159319,1639392160774
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639392160781,1639392164197
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639392164208,1639392170691
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639392170698,1639392175555
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639392175562,1639392178112
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639392178119,1639392179342
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639392179350,1639392181376
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639392181385,1639392186706
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/assist_preference,1639392186713,1639392188459
question,/ameM9v8nctyy8MRHMJfRX7/assistance_mod/cash_safe_market,1639392188466,1639392190256
