event,node,start,end
form start,,1638937421909,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638937421911,1638937422915
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638937422939,1638937424679
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638937424689,1638937428099
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638937428111,1638937435167
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638937435181,1638937449366
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638937449395,1638937452842
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638937452868,1638937473643
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638937473670,1638937474518
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638937474543,1638937488812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638937488858,1638937490079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638937490104,1638937499490
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638937499516,1638937500447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638937500472,1638937515751
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638937515764,1638937607012
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638937607022,1638937621812
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638937621825,1638937676018
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638937676033,1638937677427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638937677441,1638937693603
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638937693616,1638937701214
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638937701229,1638937711897
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638937711911,1638937714098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638937714114,1638937715916
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638937715929,1638937717224
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638937717237,1638937718140
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638937718152,1638937718999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638937719010,1638937728244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638937728255,1638937735871
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638937735885,1638937738047
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638937738059,1638937748708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638937748720,1638937751943
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1638937751961,1638937769174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1638937769187,1638937779369
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1638937779383,1638937786637
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1638937786649,1638937792965
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638937792977,1638937807347
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638937807360,1638937813708
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638937813721,1638937819949
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638937819961,1638937822775
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638937822789,1638937825093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638937825105,1638937832825
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638937832838,1638937836592
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638937836606,1638937847300
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638937847313,1638937854568
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638937854582,1638937858161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638937858173,1638937862162
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638937862175,1638937864829
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638937864842,1638937868072
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638937868085,1638937870431
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638937870443,1638937872030
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/total_mem_confirm,1638937872045,1638937879816
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1638937879834,1638937881024
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638937881036,1638937882016
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638937882029,1638937882883
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638937882898,1638937884509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638937884523,1638937886884
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638937886899,1638937889118
