event,node,start,end
form start,,1639459209390,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639459209391,1639459210412
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639459210431,1639459211687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639459211701,1639459213079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639459213095,1639459217622
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639459217636,1639459220040
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639459220075,1639459222074
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639459222108,1639459229509
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639459229525,1639459231052
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639459231067,1639459232936
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639459232949,1639459237970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639459237985,1639459238504
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639459238519,1639459384608
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639459384622,1639459415641
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639459415653,1639459428793
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639459428806,1639459430277
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639459430293,1639459452765
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639459452780,1639459456716
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639459456731,1639459458317
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639459458334,1639459470970
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639459470985,1639459472438
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639459472455,1639459478706
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639459478721,1639459503315
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639459503330,1639459514928
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639459514945,1639459517346
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639459517361,1639459519388
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639459519402,1639459531576
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639459531592,1639459533202
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639459533217,1639459534961
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639459534976,1639459536861
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639459536876,1639459541155
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639459541168,1639459543330
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639459543344,1639459547357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639459547371,1639459548907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639459548921,1639459551516
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639459551529,1639459553275
