event,node,start,end
form start,,1639378772304,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639378772306,1639378773485
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639378773495,1639378775757
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639378775767,1639378778064
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639378778075,1639378784586
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639378784595,1639378788549
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639378788629,1639378798413
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639378798456,1639378813094
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639378813103,1639378819725
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639378819735,1639378825417
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639378825424,1639378848252
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639378848260,1639378850420
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639378850428,1639378871447
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639378871456,1639378881698
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639378881706,1639378896648
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639378896655,1639378898841
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639378898850,1639378920857
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639378920864,1639378929940
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639378929947,1639378931584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639378931593,1639378933619
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639378933627,1639378942247
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639378942254,1639378942931
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639378942940,1639378945225
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639378945234,1639378976893
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639378976901,1639378980872
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639378980880,1639378989064
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639378989072,1639379015313
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639379015321,1639379025345
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639379025353,1639379028848
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639379028855,1639379031325
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639379031336,1639379033077
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639379033085,1639379035804
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639379035812,1639379038357
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639379038365,1639379041167
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639379041175,1639379043178
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639379043185,1639379045096
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639379045104,1639379065341
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639379065349,1639379067601
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639379067609,1639379071063
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639379071072,1639379074584
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639379074591,1639379099370
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/HHH_diff_seeing,1639379099379,1639379100955
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639379100963,1639379117471
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_hearing,1639379117481,1639379119214
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639379119221,1639379130827
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_walking,1639379130836,1639379132169
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639379132179,1639379142466
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639379142475,1639379157305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/hhh_diff_self_care,1639379157314,1639379163652
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639379163661,1639379176209
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639379176220,1639379186867
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639379186875,1639379190212
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639379190222,1639379199662
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639379199730,1639379203324
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639379203362,1639379213110
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639379213118,1639379223662
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639379223672,1639379234025
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639379234034,1639379240641
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639379240650,1639379246430
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639379246439,1639379262625
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639379262635,1639379273583
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639379273592,1639379275030
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639379275040,1639379276510
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639379276520,1639379286284
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/sold_asset,1639379286293,1639379288318
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/seek_employment,1639379288329,1639379292472
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/working,1639379292482,1639379300059
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639379300067,1639379350739
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639379350753,1639379351869
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/borrow,1639379351879,1639379352882
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/medical_attention,1639379352895,1639379358213
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/early_marry,1639379358224,1639379361488
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639379361498,1639379362796
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639379362807,1639379365110
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639379365119,1639379376819
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639379376828,1639379377534
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639379377542,1639379383835
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639379383845,1639379390378
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639379390390,1639379394801
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639379394810,1639379397274
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639379397280,1639379399793
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/meat,1639379399800,1639379402971
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/dairy,1639379402977,1639379409912
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/sugar,1639379409920,1639379423031
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/oil,1639379423038,1639379428235
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/condiment,1639379428243,1639379431294
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_had_to_note,1639379431302,1639379432653
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/less_food,1639379432663,1639379437228
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/borrow_food,1639379437236,1639379442900
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/limit_mealtime,1639379442908,1639379477465
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/restrict_consumption,1639379477474,1639379484481
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/reduce_meal,1639379484489,1639379509293
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/childs_health,1639379509301,1639379526601
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_type,1639379526607,1639379529896
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_resident,1639379529904,1639379534859
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/tenure_status,1639379534866,1639379538837
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/shelter_concern,1639379538844,1639379549180
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/nfi_need,1639379549188,1639379553893
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_access,1639379553902,1639379560599
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_source,1639379560607,1639379576046
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/water_far_distance,1639379576053,1639379578198
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/latrine_access,1639379578208,1639379593442
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/handwashing_facilities,1639379593451,1639379595978
question,/ameM9v8nctyy8MRHMJfRX7/health/health_fac_2hours,1639379595987,1639379598480
question,/ameM9v8nctyy8MRHMJfRX7/health/health_barriers,1639379598488,1639379607297
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_amount,1639379607304,1639379615847
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/debt_expenditure,1639379615853,1639379631054
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639379631062,1639379634674
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working_days,1639379634684,1639379636426
question,/ameM9v8nctyy8MRHMJfRX7/economic_profile/adult_working,1639379636434,1639379648861
question,/ameM9v8nctyy8MRHMJfRX7/protection/protection_question,1639379648868,1639379660631
question,/ameM9v8nctyy8MRHMJfRX7/protection/environmental_dangers,1639379660638,1639379663767
