event,node,start,end
form start,,1639046380014,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639046380018,1639046381182
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639046381194,1639046385687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639046385697,1639046387630
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639046387639,1639046485582
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639046485590,1639046488968
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639046489067,1639046491868
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639046491880,1639046500290
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639046500298,1639046501455
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639046501463,1639046503798
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639046503807,1639046507833
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639046507843,1639046508805
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639046508816,1639046523750
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639046523759,1639046532667
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639046532676,1639046533278
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639046533286,1639046541448
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639046541458,1639046570080
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639046570089,1639046572321
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639046572329,1639046590964
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639046590972,1639046595794
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639046595804,1639046597798
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639046597806,1639046614129
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639046614138,1639046618057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639046618072,1639046663085
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639046663093,1639046667347
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639046667357,1639046676079
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639046676087,1639046684199
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639046684207,1639046686427
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639046686436,1639046688358
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639046688365,1639046690054
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639046690065,1639046695262
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639046695271,1639046698157
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639046698165,1639046701109
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639046701117,1639046703098
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1639046703106,1639046712647
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639046712655,1639046714799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639046714807,1639046735987
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639046735996,1639046738703
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_walking,1639046738712,1639046740580
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_remembering,1639046740588,1639046742244
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_self_care,1639046742253,1639046743826
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_communicating,1639046743835,1639046745878
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/heatlh_issue,1639046745887,1639046747584
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/current_status,1639046747593,1639046751482
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_province,1639046751491,1639046758755
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displaced_district,1639046758784,1639046762841
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/displacement_duration,1639046762853,1639046764978
question,/ameM9v8nctyy8MRHMJfRX7/hh_displacement/move_intention,1639046764986,1639046776805
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/event_affected,1639046776815,1639046786821
question,/ameM9v8nctyy8MRHMJfRX7/shock_impact/loss_family_member,1639046786828,1639046797488
question,/ameM9v8nctyy8MRHMJfRX7/assistance/assist_received,1639046797499,1639046846416
question,/ameM9v8nctyy8MRHMJfRX7/coping_strategies/insuff_food,1639046846424,1639046860818
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/hh_eat_note,1639046860826,1639046861946
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/cereal,1639046861954,1639046864122
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/pulse,1639046864130,1639046903958
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/vegetable,1639046903969,1639046915159
question,/ameM9v8nctyy8MRHMJfRX7/sectoral_needs/fruit,1639046915167,1639046917397
