event,node,start,end
form start,,1639027933785,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639027933788,1639027934262
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639027934268,1639027938813
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639027938817,1639027940814
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639027940819,1639027949276
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639027949281,1639027953002
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639027953097,1639027955469
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639027955545,1639027960810
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639027960817,1639027986270
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639027986278,1639027988990
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639027988994,1639027992832
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639027992839,1639028000859
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639028000867,1639028055748
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639028055753,1639028107876
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639028107882,1639028113854
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639028113859,1639028115477
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639028115487,1639028128762
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639028128767,1639028130686
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639028130691,1639028135152
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639028135155,1639028139154
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639028139159,1639028140700
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639028140703,1639028159951
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639028159955,1639028162555
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639028162559,1639028166452
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639028166460,1639028168174
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639028168179,1639028169567
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639028169572,1639028172048
