event,node,start,end
form start,,1638680526154,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638680526155,1638680526935
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638680526944,1638680528298
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1638680528306,1638680529800
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1638680529808,1638680535432
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1638680535440,1638680541533
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1638680541573,1638680544541
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1638680544551,1638680549446
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1638680549454,1638680725512
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1638680725520,1638680727687
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1638680727696,1638680734378
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1638680734386,1638680735247
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1638680735255,1638680748700
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1638680748708,1638680753354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1638680753362,1638680759746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1638680759755,1638680761651
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1638680761662,1638680771947
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1638680771956,1638680799746
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1638680799754,1638680801609
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1638680801619,1638680811093
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638680811101,1638680812949
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638680812957,1638680813450
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1638680813457,1638680814711
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_name,1638680814719,1638680827354
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_father_name,1638680827362,1638680834991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hhh_gender,1638680834999,1638680838116
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/HHH_age,1638680838124,1638680853240
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1638680853250,1638680855589
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1638680855596,1638680884450
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638680884458,1638680888219
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638680888226,1638680889187
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638680889194,1638680892288
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638680892295,1638680902090
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638680902098,1638680903476
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638680903484,1638680905231
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638680905239,1638680907437
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638680907445,1638680908657
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638680908665,1638680910011
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638680910019,1638680911373
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638680911381,1638680913220
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/child_under2,1638680913228,1638680915107
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1638680915115,1638680915886
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1638680915895,1638680919520
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1638680919529,1638680920999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1638680921007,1638680924249
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1638680924257,1638680925319
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1638680925327,1638680927984
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1638680927992,1638680929179
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1638680929187,1638680930149
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1638680930157,1638680931870
