event,node,start,end
form start,,1639456256686,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639456256688,1639456302329
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639456302365,1639456303527
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639456303535,1639456305285
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639456305293,1639456310728
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639456310739,1639456313755
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639456313823,1639456317161
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639456317171,1639456328999
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639456329007,1639456710137
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639456710194,1639456717653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639456717662,1639456723204
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639456723212,1639456724156
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639456724163,1639456738272
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639456738281,1639456742259
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639456742267,1639456755985
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639456755995,1639456757485
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639456757495,1639456780453
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639456780464,1639456818262
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639456818271,1639456820808
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639456820818,1639456833934
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639456833946,1639456837011
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639456837022,1639456843997
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639456844005,1639456857386
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639456857394,1639456875441
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639456875449,1639456889394
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639456889401,1639456891465
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639456891475,1639456919664
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639456919673,1639456925508
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639456925517,1639456925929
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639456925936,1639456926422
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639456926434,1639456926910
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639456926918,1639456927533
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639456927540,1639456928091
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639456928100,1639456928773
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639456928782,1639456929238
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639456929247,1639456935679
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639456935687,1639456936769
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639456936778,1639456937596
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639456937606,1639456939991
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639456940001,1639456940469
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639456940477,1639456940907
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639456940915,1639456946440
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639456946448,1639456946911
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639456946918,1639456947342
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639456947350,1639456947799
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639456947868,1639456948492
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639456948500,1639456949305
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639456949312,1639456960514
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639456960524,1639456962044
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639456962053,1639456963861
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639456963870,1639456964558
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639456964566,1639456965126
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639456965137,1639456965829
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639456965837,1639456966561
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639456966569,1639456967227
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_6_17,1639456967235,1639456968057
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_female,1639456968065,1639456970254
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/adult_18_59_male,1639456970263,1639456972242
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_female,1639456972250,1639456973962
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/elders_60_abv_male,1639456973972,1639456975383
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/p_l_w,1639456975396,1639456977188
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_seeing,1639456977196,1639456979956
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_vuln_factors/diff_hearing,1639456979965,1639456982982
