event,node,start,end
form start,,1639385491592,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1639385491594,1639385492747
question,/ameM9v8nctyy8MRHMJfRX7/consent,1639385492756,1639385494892
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/organization,1639385494900,1639385496685
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/assessment_code,1639385496694,1639385506124
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/province,1639385506133,1639385516159
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/district,1639385516193,1639385522653
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/village,1639385522677,1639385533769
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/gps,1639385533778,1639385580372
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/date_assessment,1639385580383,1639385594080
question,/ameM9v8nctyy8MRHMJfRX7/general_info/org/interviewer_name,1639385594089,1639385610397
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/hh_note,1639385610405,1639385611638
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/name,1639385611647,1639385618968
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/father_name,1639385618977,1639385624491
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_age,1639385624500,1639385651625
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_gender,1639385651634,1639385653494
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/contact_num,1639385653503,1639385691267
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/sec_contact_num,1639385691277,1639385754068
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/id_type,1639385754076,1639385755634
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/nid_no,1639385755642,1639385777362
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_details/respondent_hohh,1639385777370,1639385779858
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/hh_mem,1639385779867,1639385783993
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_female,1639385784001,1639385805815
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/new_born_male,1639385805824,1639385813193
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_5,1639385813212,1639385817792
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/boys_5,1639385817800,1639385819115
question,/ameM9v8nctyy8MRHMJfRX7/general_info/hh_composition/girls_6_17,1639385819123,1639385820394
