event, node, start, end
form start,,1638785905038,
question,/ameM9v8nctyy8MRHMJfRX7/intro_note,1638785905039,1638785920608
question,/ameM9v8nctyy8MRHMJfRX7/consent,1638785920610,1638785938925
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/organization,1638785938926,1638785940385
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/assessment_code,1638785940386,1638785985333
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/province,1638785985334,1638785989300
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/district,1638785989300,1638785991837
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/village,1638785991838,1638785996512
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/gps,1638785996512,1638786046627
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/date_assessment,1638786046629,1638786048845
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/org[1]/interviewer_name,1638786048847,1638786055084
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/hh_note,1638786055085,1638786061344
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/name,1638786061345,1638786073856
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/father_name,1638786073857,1638786092670
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_age,1638786092671,1638786099506
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_gender,1638786099506,1638786100918
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/contact_num,1638786100919,1638786111515
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/sec_contact_num,1638786111516,1638786119626
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type,1638786119627,1638786123069
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/id_type_other,1638786123070,1638786127044
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/nid_no,1638786127045,1638786141225
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_details[1]/respondent_hohh,1638786141225,1638786144586
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/hh_mem,1638786144587,1638786156683
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_female,1638786156684,1638786163635
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/new_born_male,1638786163636,1638786165274
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_5,1638786165274,1638786167180
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_5,1638786167180,1638786168555
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/girls_6_17,1638786168556,1638786171354
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/boys_6_17,1638786171355,1638786172844
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_female,1638786172845,1638786174253
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/adult_18_59_male,1638786174254,1638786175600
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_female,1638786175601,1638786177016
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/elders_60_abv_male,1638786177017,1638786178354
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/child_under2,1638786178355,1638786181302
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_composition[1]/p_l_w,1638786181303,1638786194924
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_seeing,1638786194925,1638786199858
question,/ameM9v8nctyy8MRHMJfRX7/general_info[1]/hh_vuln_factors[1]/diff_hearing,1638786199859,1638786208652
